#../do_sensitivity.py --input_csv input_df.csv --bias 2 --output_dir sensitivity_output --covariate_dir covariates/ --bootstrap_dir bootstrap/ --multi 4
alpha,Rsq_0,Rsq_1,Rsq_2,Rsq_3,Rsq_4,Rsq_5,Rsq_6,Rsq_7,Rsq_8,Rsq_9,Rsq_10,Rsq_11,Rsq_12,Rsq_13,Rsq_14,Rsq_15,Rsq_16,Rsq_17,Rsq_18,Rsq_19,Rsq_20,Rsq_21,Rsq_22,Rsq_23,Rsq_24,Rsq_25,Rsq_26,Rsq_27,Rsq_28,Rsq_29,Rsq_30,Rsq_31,Rsq_32,Rsq_33,Rsq_34,Rsq_35,Rsq_36,Rsq_37,Rsq_38,Rsq_39,Rsq_40,Rsq_41,Rsq_42,Rsq_43,Rsq_44,Rsq_45,Rsq_46,Rsq_47,Rsq_48,Rsq_49,Rsq_50,Rsq_51,Rsq_52,Rsq_53,Rsq_54,Rsq_55,Rsq_56,Rsq_57,Rsq_58,Rsq_59,Rsq_60,Rsq_61,Rsq_62,Rsq_63,Rsq_64,Rsq_65,Rsq_66,Rsq_67,Rsq_68,Rsq_69,Rsq_70,Rsq_71,Rsq_72,Rsq_73,Rsq_74,Rsq_75,Rsq_76,Rsq_77,Rsq_78,Rsq_79,Rsq_80,Rsq_81,Rsq_82,Rsq_83,Rsq_84,Rsq_85,Rsq_86,Rsq_87,Rsq_88,Rsq_89,Rsq_90,Rsq_91,Rsq_92,Rsq_93,Rsq_94,Rsq_95,Rsq_96,Rsq_97,Rsq_98,Rsq_99,Rsq,main,ci_lower,ci_upper
0.0001,24.676422365958146,19.32629267658158,24.577137268309745,19.79274192381423,21.606690017141435,18.99751376097014,19.05476775346909,20.053689123192136,17.38647477015353,20.01161709568808,19.602178401240124,20.775402063743694,19.157502826818053,21.178940031269175,21.081763948666747,11.864948539793607,23.98183910683063,22.25961658315165,14.504274120791063,20.645805025080826,17.978724575851277,18.299130177976515,27.102619948758853,20.473548177283774,17.925736861994682,1.0,26.18641787322749,17.447487619532193,22.61248481612516,12.488100957771719,18.274804834822124,23.60159259298202,23.708691046201377,20.347115829629303,19.145477402819534,24.200942209387804,17.909806834293647,18.77029748571304,20.610253484949343,19.13596798782281,21.447478678010118,22.253693238336222,19.516380778976384,20.095849394596456,21.232031822108983,20.395970727685118,1.0,7.932406454144212,16.60677494675303,21.618754224656552,23.006189978974124,22.123953284215325,19.463446813828746,22.108410821397282,19.52164836166383,20.764223217121085,18.564538238865712,9.336821689054478,19.990825085158452,24.245337228052335,20.48669105767244,20.875181581486373,18.84555562012354,21.62214953943539,24.463825314533313,19.256416734592435,17.449549478070765,25.089097360235137,22.169138825942373,22.455211457646612,22.176163754782085,22.806357118382504,23.707430491499675,17.416235681038646,27.14068917905165,17.183350387763575,21.86838005933169,21.307701084553493,21.753297205854516,18.379659687013245,20.111050074820735,21.083920955902723,23.08025940987121,19.3546658259474,17.267548113587353,23.40497778846926,1.0,17.5499855380976,24.419285493830074,20.411371188212648,11.975199793795532,17.91261335650263,21.87912151468969,22.44331060625428,0.49302984133883365,20.641420430587708,22.611633644220124,18.89857411461196,19.711203693775577,19.923268885929712,24.26007094885992,24.26007094885992,22.854951268163724,1.0
0.0006000000000000001,4.131489093802773,3.255429436634533,4.113821329573923,3.3324542378034194,3.62995045665719,3.201283452403805,3.1836935351927025,3.364003075982476,2.923349799148914,3.3626945373993333,3.2932703499518086,3.4856398742278816,3.2206618051039237,3.556904178193354,3.5384845485135257,1.0,4.0127308636330286,3.726962624225047,2.1703039874157195,3.468729378031843,3.0339088024850405,3.0789541194201786,4.533351826065155,3.4356802888856124,3.010836373506224,0.11533587750283178,4.386049053332526,2.95558870490801,3.7807908940351718,1.0,3.071334260257099,3.9543696423010677,3.966827622223111,3.408616690665954,3.2264014495640243,4.053853007665432,2.8126073654602477,3.1629563497838196,3.4624322053179117,3.2159325141377404,3.591072261401374,3.736717264573042,3.292715302416143,3.3739048701624665,3.571507768721491,3.4162584765516524,0.5674327132023242,1.0,2.812857477208501,3.628490151742208,3.8605500834519995,3.713062891536424,3.279442713017867,3.7049821963674283,3.282651669884426,3.4882002596883646,3.1261090664364675,1.0,3.338368171777106,4.052768057530924,3.4402343561381086,3.445397075254572,3.168049697294468,3.6220312910479517,4.112990653241421,3.242494784371206,2.9532094236918067,4.207909843333293,3.7236491433556593,3.764591922581981,3.638211821548891,3.790687282576088,3.9762454366496827,2.9329864468184597,4.53636825401106,2.8919228547992004,3.671748117074397,3.5720371167062894,3.6448679079250614,3.092264192177557,3.387987375171088,3.549333561509633,3.8661438965989663,3.28025244627463,2.9062517945694832,3.924471719019784,0.19095918830806427,2.948214733055369,4.084201726203003,3.427583777244486,1.0,3.0162915728274804,3.6729273770645063,3.7655163621841297,0.05638671646972747,3.466528038132521,3.7872832751848033,3.175092160946833,3.311751853220379,3.3408882077100466,4.069342979518226,4.069342979518226,3.837253030453564,1.0
0.0011,2.2640694255322473,1.7952838895314913,2.2537430304667048,1.8368381296373646,1.996275247526359,1.7661436741107663,1.7419975398087413,1.8472029262141532,1.6089729866493132,1.849867986832231,1.8111329136833163,1.9144240965646764,1.7724284436839917,1.9554161419675364,1.9440864139331873,0.8753566573196729,2.198127369210546,2.0424039430256755,1.0,1.9077958605266025,1.6762461909412711,1.6959339561670546,2.4817629054061423,1.8871724687417815,1.655374110280134,0.05635554877329684,2.404499952684414,1.639803236603653,2.068947892399215,0.914409730123289,1.6901397044304016,2.1686554607262036,2.172272958583096,1.8689786418018584,1.780134639282964,2.222548696172563,1.4894933595807618,1.7464676138267061,1.9041746546057137,1.7691649640118374,1.967960574866185,2.0539098958788347,1.818941259429075,1.8541525216767358,1.9669639347559722,1.872844672464364,0.2990238731576387,0.5505441201392751,1.560409905914314,1.9934452333026533,2.1204969101166373,2.0397505350330802,1.8089286994560543,2.032197923314265,1.8069579100129558,1.9181905140572457,1.7232789051514183,0.6619748648455037,1.826565205614045,2.2177078422458543,1.8914127922993509,1.8684988650938095,1.7433442618777575,1.9859130384199277,2.2637999555905544,1.7875476613847474,1.636881182508921,2.310016701021953,2.047311355474316,2.065771440689314,1.9647863264165444,2.065538692699275,2.1844918745370396,1.617504204742525,2.481640947298042,1.5932759154075748,2.0180541996581676,1.9600060216948256,1.999184108157889,1.7030534101441255,1.8685790068052006,1.9566320807857378,2.1197043044398813,1.8211942758476742,1.6013056344384369,2.1538908320208696,0.10015647458725312,1.6211616920005243,2.2357202323299306,1.8840783162136447,0.98127525557476,1.6628354486263237,2.018372466206419,2.067976306070047,0.029514470992512455,1.9057241777677696,2.076233431828882,1.7461297625359151,1.821405974677569,1.8337555573202369,2.234283229891597,2.234283229891597,2.1089460516384495,1.0
0.0016,1.5639921972605408,1.0,1.5563658918504426,1.0,1.3840325173051589,1.0,1.0,1.0,1.0,1.0,1.0,1.3256063733860917,1.0,1.3552059568276718,1.3464886874252877,0.5977280599855724,1.5181564265023395,1.4108498347072809,0.791415569186465,1.3228607182679857,1.0,1.0,1.7125286086997682,1.3067455079568728,1.0,0.03710485063847371,1.661625464122311,1.0,1.4270951878231943,0.6213120128172948,1.0,1.4992786091905883,1.4994247270825767,1.0,1.0,1.5359799249022557,1.0,1.0,1.3202534860257658,1.0,1.3594290084397493,1.4232272081572899,1.0,1.0,1.3658685620293036,1.0,0.2036972038996035,0.37462266757514834,1.0,1.3805969000239946,1.468288145204068,1.4125332573822555,1.0,1.4050777157745207,1.0,1.3297987409092822,1.0,0.4508411025253483,1.0,1.5299597021411504,1.3111660716454132,1.0,1.0,1.3725429825756008,1.5709494532176687,1.0,1.0,1.5985767991566577,1.4190386936315778,1.4289361330847312,1.3427381708067123,1.420598723871498,1.5137928984414681,1.0,1.7112622448557866,1.0,1.398284085235329,1.3556995134328447,1.3824080824002394,1.0,1.2993776792132166,1.3601759972967078,1.46499275821644,1.0,1.0,1.4901770081318366,0.06805208419221902,1.0,1.542650889958286,1.305584314219844,0.6771752261767546,1.0,1.3982881396602715,1.4316956534519247,0.020030428656870877,1.3207897582152346,1.434762383218753,1.0,1.0,1.0,1.54644871028084,1.0,1.4612200722980548,1.0
0.0021,1.0,0.9621795918598982,1.0,0.9833567613099331,1.0,0.9473665780810506,0.9196994684828058,0.9811412916368539,0.8585987292905566,0.9864510326575895,0.964946145459238,1.0,0.9457286880679104,1.0,1.0,0.455443490945864,1.0,1.0,0.6028741378084399,1.0,0.901859138723352,0.9065966258925273,1.3096808901896317,1.0,0.88148714673875,0.0276722294980415,1.2726560114214653,0.8902744502014072,1.0,0.47256647475353425,0.902268950666841,1.0,1.0,0.9895356822784015,0.9550722145482526,1.0,0.7612568244523863,0.9401422593235539,1.0,0.9432122689234532,1.0,1.0,0.9784107466320334,0.9863776356422406,1.0,0.9912004897946507,0.15499278458762394,0.2846378865701646,0.8469360294688575,1.0,1.0,1.0,0.9697881614869714,1.0,0.9645779231057489,1.0,0.9226706030357974,0.3428858749216644,0.9649735862228088,1.0,1.0,0.9746343130597734,0.9300220297593518,1.0,1.0,0.9574319432615473,0.8868920933064369,1.0,1.0,1.0,1.0,1.0,1.0,0.8675291130061558,1.307839052838044,0.8520640973882335,1.0,1.0,1.0,0.910063551137529,1.0,1.0,1.0,0.9905509635066297,0.8565698879002313,1.0,0.05167256808370575,0.8634320476140709,1.0,1.0,0.5205258471587974,0.8905484628694973,1.0,1.0,0.015193983993998565,1.0,1.0,0.9302636404637337,0.9705639334849312,0.973079193196489,1.0,1.0,0.856855594003733,1.0
0.0026,0.9719890070380875,0.7864238730170252,0.966553478547064,0.8032484279910687,0.866659299923877,0.7746478332234689,0.7462666068956497,0.7982010249440884,0.7001393181371843,0.8041989548975906,0.7862346038853962,0.8280537614958037,0.7711790195369838,0.8479535122582748,0.8413671315577337,0.3690591487730265,0.9436512235140283,0.8767389509366605,0.48820296843863326,0.828642779784076,0.7385761017307695,0.7399896190695655,1.0,0.8160852228887379,0.718034070783733,0.022095396436592987,1.0,0.7325491407917781,0.8841505156840717,0.382888449337118,0.7361160763749752,0.933348400182817,0.9302924734294227,0.8036383988241782,0.7810554572833932,0.9553470675964729,0.6120053051797987,0.7705871885245701,0.826910618920248,0.768787952358916,0.844763957473283,0.8902177732530722,0.801206107498056,0.8030668419181122,0.8582300496022924,0.8048211770481287,0.12546316534290755,0.2300448562438986,0.6967968513090216,0.8625566082102863,0.9169748429148096,0.8823040883817972,0.7927204717821544,0.8747533274318883,0.7867155582679157,0.8325672525393001,0.7536990867115888,0.2774218672801162,0.7833678954806677,0.9486650285431487,0.8211392587678629,0.7872956750882872,0.7582794925023607,0.8538518672346219,0.9857434552283261,0.7823086890449467,0.7290333273384026,0.99707650314541,0.8880509901213931,0.8904765289763985,0.8224543418947416,0.8775837550438867,0.9481037985340773,0.7095159936741396,1.0,0.6956044320055392,0.8745018820214665,0.8447320421902321,0.8611326878576003,0.7426429835450787,0.818737182480976,0.8566909282369498,0.9113741185008299,0.8159000594504618,0.6993916721263459,0.9290287905051895,0.041746823981507475,0.7033725532537329,0.9564106560418832,0.8166579190361697,0.42521371538495384,0.7275953137003941,0.8742650561638378,0.8938284274737858,0.012263491900464704,0.8264842163377355,0.8922883033644317,0.7579432118718846,0.7908815441695629,0.7912219557201134,0.9649961553206722,0.9649961553206722,0.9313809716472746,1.0
0.0031,0.8193642647717079,0.6676101015814823,0.8144566921994576,0.6814646195292525,0.7334116702855776,0.6578910719495674,0.6290188315806049,0.6744150660630257,0.5929429078440775,0.6809392387821922,0.6653252594571719,0.69991892753553,0.6531077228863504,0.7172962229968429,0.7112288792998649,0.311097227978943,0.7957160074048727,0.7390185118476723,0.4111721690891873,0.7013884153931873,0.6282350848967854,0.6273199925104737,0.8940079994911467,0.6896519994483408,0.6074409551223566,0.018418191129091294,0.8714472332734756,0.6261035729218296,0.74410243552899,0.3230324511672733,0.6238205854077279,0.7874847597299208,0.7835027926374792,0.6777835978863557,0.6634369326986115,0.8056336910279225,0.5122366281381484,0.6561859583590703,0.6998884677399081,0.6507857494355844,0.7120484251196288,0.7529195674349268,0.6814664744017621,0.6790268835598657,0.7275825762430834,0.6786315056017274,0.10566273905089753,0.19342001729153113,0.5954731807782435,0.729078858848357,0.7749235567671865,0.7456699312275523,0.6730040615679178,0.7380248743167263,0.66640261528712,0.7045022845942023,0.6394386369116698,0.2335257240282402,0.6606133260069634,0.7988892474917878,0.6950432405926037,0.6610033849722319,0.6420995713240305,0.7201238499654791,0.8351390544984717,0.6639203032814448,0.6224867170590737,0.8420487592981987,0.7512720069870675,0.7516821458710825,0.689775532246905,0.7382882299748469,0.8027417140188604,0.6027932076245262,0.8916181041293814,0.5897918866731138,0.739583016812009,0.7130188291524493,0.7268475372316441,0.6294027011201061,0.6950827168335125,0.7271745411878157,0.7686550573294074,0.6980855606610096,0.5931052331516548,0.7844004541011894,0.03509217140149465,0.5950683556840628,0.8052066758638224,0.6907100471618214,0.361213184955474,0.6174192325376977,0.7392980750662316,0.7552319220639517,0.01029866594518683,0.6991713360923092,0.7524197002582642,0.641352565695099,0.6693221011484547,0.6681387775716267,0.8151704476918099,0.8151704476918099,0.772857937248401,1.0
0.0036,0.7092183688806984,0.5819989166920416,0.70467187991348,0.5936917040268396,0.6373212358465251,0.5737637870160025,0.5445204847634713,0.5851308771966636,0.5156455632902744,0.5920801310838715,0.5781279557016635,0.6075189742412269,0.5679742206161635,0.6230663905083396,0.61735754488984,0.26954366824098697,0.6890414062060906,0.6396173795701071,0.3558992067468554,0.6096349202844319,0.548760625044578,0.5461052076372377,0.7728421862028432,0.5984421786346478,0.5276770652767202,0.015814052836469146,0.7545567542993848,0.5495358804092967,0.6429941479905033,0.28029929250652486,0.5429256847839273,0.6822364107041212,0.6775349858092657,0.5869521173878781,0.5787016100741511,0.6975786505634666,0.44095352427340573,0.5739033430133301,0.6083060284234455,0.5656901100483928,0.6162550498267289,0.653894365956044,0.5952276537419485,0.5895576332996333,0.6334035752025348,0.5875515688427251,0.09147232268751554,0.16715948013622592,0.5225922520989041,0.6327927575145864,0.6724526983508521,0.6470990937794068,0.5867323930043528,0.639348822418911,0.5796523827852542,0.6121468959296348,0.5570842423882459,0.20206695228179727,0.5721489140316767,0.6908361652675317,0.6041624636820446,0.570188399282282,0.5583247223016294,0.6236131625639848,0.726592872994786,0.5786122572642086,0.5458406767327851,0.7301938322430305,0.6526226587418603,0.6515317787544797,0.5945511034613512,0.6380488421569305,0.6980503484286504,0.5259669893500785,0.770310883215536,0.513515920655839,0.6422754164094984,0.6179749215734938,0.6299898038474178,0.5477610446885859,0.6059765794162557,0.6338341719440562,0.6656636678070074,0.6133735043035282,0.5164967432185248,0.680047776080987,0.03032253414419836,0.5169510612598839,0.6960509824382882,0.5998705682309887,0.31533298172192437,0.538017106904753,0.6419654507061832,0.6552466538313126,0.008890207619949228,0.607356080187316,0.6514720060059713,0.5572662910367263,0.5816616462298878,0.579336244092099,0.7070872941987069,0.7070872941987069,0.6711902220747974,1.0
0.0041,0.6260080248572346,0.5174315127150539,0.6217176533405742,0.5274768792058653,0.5647874374980555,0.5103160985639149,0.4807717620944882,0.5177214276533985,0.457304576358522,0.5250265407714438,0.5123037974787276,0.5377733298045791,0.5037213070539684,0.5519316645145622,0.5464803015033534,0.2383153290418417,0.6085210239632516,0.564514729483181,0.3143296390700543,0.5403866050121355,0.4888466398222093,0.48482985580629223,0.6812704953340932,0.5295655392648829,0.4674584933579282,0.013874486743248118,0.6662489620386849,0.49188801020757633,0.5665788422594397,0.2482942427259483,0.4819301774297073,0.6027393763176686,0.5974536237873873,0.518329172783709,0.5148058427066544,0.6159397293879928,0.38753681622813413,0.5119495296754127,0.5391898428319046,0.5014565747690158,0.5438746939757246,0.5791332778056361,0.5302165971341181,0.5220076158894829,0.5623363688416554,0.5187354698441682,0.0808094588656636,0.14741764151914485,0.46772247422312685,0.5600874186834033,0.5950772540094689,0.572662516826998,0.5216606676265588,0.5648020640371182,0.5141791808236941,0.5424305346214244,0.4949552951877664,0.17842856567692908,0.5054043444537839,0.609232220563139,0.5356016800402913,0.5017924369775071,0.49509378527375747,0.5507018096658005,0.6447073965813778,0.5142695839786735,0.48813102145908566,0.6457137675275507,0.578147664409712,0.5758848534534923,0.5229560786616699,0.5625232037088835,0.6191171458697096,0.46808101975236677,0.6786422301815893,0.4559638436244242,0.5688123496361669,0.5461823199274838,0.5568603037332543,0.486151706280889,0.5387672016060623,0.5634154049067533,0.5878634179444536,0.5496143025446357,0.4587006986445966,0.6012325735817762,0.026737776702605676,0.4579733126649248,0.6135593493715558,0.5312900970633061,0.28087256042781866,0.47811983425129156,0.5684927949855153,0.5797418745669891,0.007831433379298945,0.5380448931307324,0.5752037981252763,0.4937883172594726,0.5154927380222728,0.5122690267439908,0.6254709882183245,0.6254709882183245,0.594447231790753,1.0
0.004600000000000001,0.5609478445710275,0.46703605923783886,0.5568436097169179,0.4757821568453031,0.5081232005384553,0.46079461215392914,0.4309929533937291,0.46504969598742635,0.41173485168560564,0.47266016934252236,0.46087870410329224,0.4832889213724993,0.45353429432220077,0.4963564313919505,0.49109510070380347,0.2140033144104326,0.5456173963408546,0.5057856967789801,0.28194528561113047,0.48629832456545063,0.4421036253895973,0.4369854150245283,0.6096421209093403,0.4757363260392743,0.420407566808441,0.012374705058612715,0.597201598440396,0.446969422095459,0.5068039394739842,0.22344981631491656,0.4343343828720763,0.5405924801715221,0.5348168943596264,0.4646715724611354,0.464943111950216,0.5521016834473675,0.3460493908043282,0.46366693050204344,0.48520736381075275,0.4512775678896976,0.48727170488079946,0.520718549146132,0.479497641709599,0.46922591433766164,0.5068334258635699,0.4649224198183371,0.07250835429178792,0.13204119043097284,0.4249704937853153,0.5032697337365425,0.5346100312322883,0.5144872161105629,0.47086810136345353,0.5065149468550264,0.46303919113805475,0.4879656344013722,0.4464498753100919,0.16002575382287046,0.4532804208670033,0.5454457584078846,0.4820731838682089,0.44845601228477067,0.44570274753939165,0.4936926236995832,0.5807798416452584,0.46404550804040157,0.44316303931742057,0.5796791878608956,0.5199593382651485,0.5167487997357673,0.46720942378445546,0.5036161743101276,0.5575185922301154,0.42294405906362204,0.6069462794378868,0.4110242893962215,0.511412880950457,0.4900569095279205,0.49971646617978493,0.43803725383137826,0.4863044444386613,0.5084298558834494,0.5270379282593877,0.499946087837537,0.4135759759163036,0.5396245359109453,0.02394617729228124,0.411890912394169,0.5490362985054972,0.4777060086998685,0.2540686085772889,0.4313586754434217,0.511094639177756,0.5207307731369752,0.007006727480185878,0.4838939111016756,0.5155656004602812,0.44419476073980174,0.46380254105976515,0.4598464144387997,0.5616873780906895,0.5616873780906895,0.5339734922186734,1.0
