#../do_sensitivity.py -i input_df.csv -b 2 -o sensitivity_output -cov covariates/ -boot bootstrap/ -cut 0.95 -multi 4
covariate_name,ahat_0,Rsqhat_0,ahat_1,Rsqhat_1,ahat_2,Rsqhat_2,ahat_3,Rsqhat_3,ahat_4,Rsqhat_4,ahat_5,Rsqhat_5,ahat_6,Rsqhat_6,ahat_7,Rsqhat_7,ahat_8,Rsqhat_8,ahat_9,Rsqhat_9,ahat_10,Rsqhat_10,ahat_11,Rsqhat_11,ahat_12,Rsqhat_12,ahat_13,Rsqhat_13,ahat_14,Rsqhat_14,ahat_15,Rsqhat_15,ahat_16,Rsqhat_16,ahat_17,Rsqhat_17,ahat_18,Rsqhat_18,ahat_19,Rsqhat_19,ahat_20,Rsqhat_20,ahat_21,Rsqhat_21,ahat_22,Rsqhat_22,ahat_23,Rsqhat_23,ahat_24,Rsqhat_24,ahat_25,Rsqhat_25,ahat_26,Rsqhat_26,ahat_27,Rsqhat_27,ahat_28,Rsqhat_28,ahat_29,Rsqhat_29,ahat_30,Rsqhat_30,ahat_31,Rsqhat_31,ahat_32,Rsqhat_32,ahat_33,Rsqhat_33,ahat_34,Rsqhat_34,ahat_35,Rsqhat_35,ahat_36,Rsqhat_36,ahat_37,Rsqhat_37,ahat_38,Rsqhat_38,ahat_39,Rsqhat_39,ahat_40,Rsqhat_40,ahat_41,Rsqhat_41,ahat_42,Rsqhat_42,ahat_43,Rsqhat_43,ahat_44,Rsqhat_44,ahat_45,Rsqhat_45,ahat_46,Rsqhat_46,ahat_47,Rsqhat_47,ahat_48,Rsqhat_48,ahat_49,Rsqhat_49,ahat_50,Rsqhat_50,ahat_51,Rsqhat_51,ahat_52,Rsqhat_52,ahat_53,Rsqhat_53,ahat_54,Rsqhat_54,ahat_55,Rsqhat_55,ahat_56,Rsqhat_56,ahat_57,Rsqhat_57,ahat_58,Rsqhat_58,ahat_59,Rsqhat_59,ahat_60,Rsqhat_60,ahat_61,Rsqhat_61,ahat_62,Rsqhat_62,ahat_63,Rsqhat_63,ahat_64,Rsqhat_64,ahat_65,Rsqhat_65,ahat_66,Rsqhat_66,ahat_67,Rsqhat_67,ahat_68,Rsqhat_68,ahat_69,Rsqhat_69,ahat_70,Rsqhat_70,ahat_71,Rsqhat_71,ahat_72,Rsqhat_72,ahat_73,Rsqhat_73,ahat_74,Rsqhat_74,ahat_75,Rsqhat_75,ahat_76,Rsqhat_76,ahat_77,Rsqhat_77,ahat_78,Rsqhat_78,ahat_79,Rsqhat_79,ahat_80,Rsqhat_80,ahat_81,Rsqhat_81,ahat_82,Rsqhat_82,ahat_83,Rsqhat_83,ahat_84,Rsqhat_84,ahat_85,Rsqhat_85,ahat_86,Rsqhat_86,ahat_87,Rsqhat_87,ahat_88,Rsqhat_88,ahat_89,Rsqhat_89,ahat_90,Rsqhat_90,ahat_91,Rsqhat_91,ahat_92,Rsqhat_92,ahat_93,Rsqhat_93,ahat_94,Rsqhat_94,ahat_95,Rsqhat_95,ahat_96,Rsqhat_96,ahat_97,Rsqhat_97,ahat_98,Rsqhat_98,ahat_99,Rsqhat_99,ahat,Rsqhat,Rsqhat_main,Rsqhat_ci_lower,Rsqhat_ci_upper,ahat_main,ahat_ci_lower,ahat_ci_upper
age,0.16024112034648597,0.059316278450895536,0.14912280996441063,0.06438592442639708,0.12920550137469788,0.04440901610139248,0.1259774619184214,0.08277280089442998,0.14651661728140652,0.03663194115425595,0.14865691816037563,0.0474780017750481,0.13339976264962417,0.07269566800386272,0.15632225326999138,0.03814747910906264,0.12160264736363946,0.0691605304619468,0.15098481372598782,0.040943173266295596,0.16519663509073979,0.047524413103184164,0.12968912596542292,0.07580937738030634,0.15328736199938264,0.028305146493895476,0.1415984145077267,0.03568170711379181,0.1578852212260199,0.02916023687711365,0.1615352846787277,0.07838178655201682,0.13362083553462367,0.05859411740130525,0.1365872090808532,0.03890974903435669,0.13812928532872315,0.05786908810627158,0.15359865442049114,0.05784487227481711,0.15154956350063375,0.03762833604537398,0.14097984570355138,0.07868903403738722,0.1673401118405371,0.06590157786081625,0.12985092269115994,0.013044808955950619,0.14571666278025353,0.046430182011719966,0.14735177716109416,0.028325465252229433,0.11311281914048954,0.06102712315056845,0.1441155607875102,0.045298400112707166,0.14280769253005443,0.07123394362104897,0.14700811137560554,0.04233103349923956,0.1347601760783591,0.10089993032832885,0.13709148619728495,0.022722129984438805,0.14044321249745817,0.0403190923579017,0.1500412814605967,0.06311452424341864,0.13955763606655192,0.0834107646272456,0.15036184680690245,0.06526256607253675,0.13917640021163924,0.03954873505228169,0.15095007222810708,0.045471106764823827,0.16303826635647323,0.05797793749677103,0.15304172837652763,0.06565443448536057,0.12403128895236137,0.07108920522353065,0.1577039457884819,0.03293563519229053,0.1497252639512745,0.05811758820166349,0.15374523374127047,0.03541620765605229,0.1403369006466656,0.07368762198524666,0.1689543951251824,0.10857526255210322,0.1744891138016692,0.05453255069265664,0.11927195906721377,0.016318165012884862,0.1345043143164798,0.06713025304595192,0.13008911488125696,0.024207114484746686,0.14396999379826558,0.061864658890134885,0.14216775809700044,0.09768728001614471,0.14033701730964454,0.03777293240916345,0.17158496452059346,0.06991620844277013,0.14483708639925363,0.09478463032118707,0.16075073996531297,0.07001898674375674,0.12848115878402988,0.027615152511757085,0.15692738250951388,0.0675530940585224,0.13713951330352148,0.07552059435137466,0.16695955704191778,0.07120646191651146,0.16100376927023552,0.03477502408192826,0.15890494169550484,0.04865593205155537,0.13514451337796995,0.06022958115317527,0.14226488308928198,0.031135484009253093,0.14398621346998175,0.10032249795669211,0.16807556096178544,0.050698760077190194,0.17235860011297688,0.06920908912720877,0.15124820466772793,0.041518091918938405,0.13452662230558687,0.009485459657219192,0.14405971136204776,0.05225596497264791,0.15617240009083344,0.07939379668672923,0.15959969622646686,0.11454537516837024,0.16468671055019835,0.07690900132301356,0.12822939458994242,0.01800923951174653,0.14068840169282837,0.07651576369698851,0.16075914391963209,0.03713602723016693,0.14032249794567153,0.09702513530122513,0.1446479655859524,0.06215585201507448,0.16654168981557183,0.11297975557926254,0.16565164391803733,0.0565135480649409,0.15184719104203903,0.06692623132856386,0.13141337224130412,0.08831522879500621,0.11958873018535532,0.07396712653192197,0.12581387430208968,0.09468229907903365,0.1307153395702253,0.07560083337343373,0.15240494840367125,0.03706094433723754,0.1618652052076126,0.04539853404777049,0.14845049337690874,0.036205556990536146,0.1418258039199065,0.06372574215452279,0.14575286994653502,0.05817255881116908,0.13410491795227686,0.04568562982483727,0.14684200708708894,0.060551002499048386,0.1427892733192584,0.08222700237585115,0.1476982995122692,0.03199868095043217,0.13351217047177866,0.015781706540686318,0.13069826568146015,0.0740656386899057,0.13262746976527207,0.036570946135250415,0.15192449744823966,0.030401769708390355,0.13996469096533037,0.019197426307687136,0.17972352159252103,0.07712133588515097,0.14715210466409212,0.06979815132000321,0.06979815132000321,0.034666822894196085,0.12355977832502579,0.14715210466409212,0.12231308612158949,0.17375886848314395
bloodwork,0.026641518763129812,0.0,0.026729329355552944,0.0,0.026382907547396472,0.0,0.024775285693385496,0.0,0.02098892612617953,0.0,0.030503700843082515,0.0,0.023372114138819455,0.0,0.029583033922950475,0.0,0.028836754910756435,0.0,0.019785272059482995,0.0,0.018500110337592135,0.0,0.02752227270641372,0.0,0.03112681204734913,0.0,0.025196575153066836,0.0,0.022000154668662453,0.0,0.014695167098915718,0.02636009610974412,0.01739140676144635,0.0,0.030929188092474247,0.0,0.02653003007416832,0.004089334336753647,0.028321444502249937,0.0,0.02773820093793966,0.0,0.022716591666154584,0.0,0.02526215838931012,0.0,0.014488987014653176,0.0,0.016496892951596398,0.0,0.028014723089720528,0.0,0.027450726708095674,0.0,0.031221843769818514,0.0,0.0405517904181637,0.0,0.01960833408601448,0.0,0.033943549521829985,0.01924326969293341,0.028803147684599795,0.0,0.03355847851362437,0.0,0.02602638413463687,0.0,0.016788459726678306,0.0,0.02228889178152016,0.0,0.009286691888378718,0.0,0.04509648059432869,0.0,0.026573334435700535,0.0,0.038952614815436326,0.00942694474264098,0.026200083013509734,0.0,0.02614063913464071,0.0,0.020491215042497624,0.0,0.026414507873091186,0.0,0.023064392800475786,0.0,0.01677613108988585,0.0,0.02879555804747702,0.0,0.024133644262443688,0.0,0.027048656386626457,0.0,0.028819137641792225,0.0,0.022874081037198457,0.0,0.029666186956872065,0.0,0.02265367337226276,0.0,0.031118610514248912,0.0,0.013844915861959128,0.0,0.027995016964962094,0.01570666453959704,0.02252139266983111,0.004475738925145347,0.024313810507594513,0.0,0.03425297777446823,0.0064497960994025225,0.027679905628295143,0.0,0.020648044492771134,0.02055850966752503,0.018949512717322037,0.0,0.03203414886472622,0.0,0.016359328893368996,0.0,0.022622256765628124,0.0,0.03324389175147335,0.0,0.02479682567082664,0.0,0.013904725055272293,0.0,0.02873875677206461,0.0,0.016504570943644326,0.0,0.02474001379521562,0.0,0.025436765720209475,0.003506565995071401,0.02509214169178886,0.0,0.014556840987483333,0.0,0.027373972587507067,0.0,0.013883074719333366,0.0,0.02394077350623125,0.005810591248224875,0.026270212102466273,0.0,0.03158138361817131,0.0,0.022785640063457735,0.0,0.026114373277123848,0.0,0.029560798552600742,0.0028187396439796676,0.015695581961540084,0.0,0.04228716248758846,0.0,0.031365780822859235,0.0,0.030127593030913946,0.0,0.035825250307105594,0.0,0.02229656181061379,0.011667870956502704,0.017931524171357238,0.0,0.03749942213292412,0.0,0.026209315295310676,0.0,0.023296259498073457,0.0,0.02988406279518907,0.01332511106471509,0.023540981477276568,0.0,0.03710075256780576,0.0,0.016035847105612677,0.0,0.013623299980167647,0.0,0.025371966545932212,0.0,0.018997496744340814,0.0,0.0256709374113685,0.0,0.023620251314344642,0.023001790920665486,0.023001790920665486,0.02844019959623237,0.04600358184133097,0.023620251314344642,0.007448320621821099,0.03337746130947739
sex,0.0,0.005012978312179492,0.003439534566751279,0.004588280964165627,0.004809031091852711,0.0,0.0,0.023771048509669653,0.0048870020178579665,0.00018880496111876006,0.0,0.0,0.0054372933375764765,0.03269157295563296,0.005969871928043213,0.0008883457223097148,0.0,0.008092643341380918,0.004801303487783404,0.0,0.0,0.008187945463685677,0.0,0.0,0.0,0.0,0.0,0.023013009459365474,0.00019209786512208726,0.0019251716326326978,0.0008725719919244757,0.022626964558585476,0.0026983894858781943,0.015384389175210265,0.004271620390004172,0.0027083402980513766,0.0,0.00985474687765789,0.0039968375815491175,0.0,0.002238165785410584,0.0206291235066876,0.00024994197086047887,0.016186000717423356,0.0006695024916766323,0.0009395668775027069,0.0,0.0,0.0016154016271529015,0.0,0.0,0.0,0.0018303264460906021,0.0,0.001274499747154323,0.013884286090045266,0.0012091406546834715,0.06710084213235619,0.0,0.022255398724802332,0.0010286338560590025,0.01633929914813847,0.006016075624153627,0.012114770736744605,0.0006680911711747228,0.0,0.004264294188203732,0.009332213797100674,0.003954683218136301,0.005677673549296063,0.0,0.0256969126218564,0.00030529885124819245,0.010749755609728674,0.0015489752316989458,0.00896727145986988,0.0038840930091085246,0.0,0.007127176363987409,0.010768669663165845,0.001321549194720828,0.05913029273606699,0.00809025314633438,0.0046634097019297525,0.003017700123767897,0.03632117504182122,0.0,0.0,0.003742959962555137,0.050197499371832564,0.001116549654913923,0.04333702498807469,0.0006437855163717865,0.029225528444846074,0.006576376985596322,0.008594372015336905,0.0018273433093773939,0.01412049223485927,0.0,0.0,0.0024112383258279024,0.03982293842722659,0.004004734808218502,0.0342167293845918,0.0016804910204213375,0.045354860675988554,0.0036738495413435324,0.029228841544716475,0.0,0.033396224450689856,0.00025899156287778613,0.050592621856924876,0.0009111994887993635,0.03299880182927722,0.00123379773928034,0.0004989545563297259,0.0022807157465707384,0.0,0.003712467276924203,0.00339231064847245,0.002447803306550811,0.047304244436507846,0.0017037581981164118,0.004090230349833921,0.004150327760090056,0.030725419636014255,0.004105442100087453,0.016447380214553654,0.002774453184211545,0.01732271768607874,0.0025785970282551363,0.018362499827370427,0.0014349747037017968,0.0,0.0038832631708118903,0.013079231024538512,0.006774630714397101,0.0,0.0,0.0,0.000550078490595185,0.01975409318391711,0.0033792636539392573,0.04226765100954263,0.001993540206217892,0.04131649140806882,0.0013379824009862595,0.010560648714326755,0.0007195735014087212,0.021694251046852058,0.0,0.0,2.5522489943141657e-05,0.014062059613800628,0.0009888745863984028,0.0,0.008776552896952894,0.03103040471848448,0.0026282102642835037,0.0,0.0052348946057693135,0.001232427652278691,0.0,0.0,0.002179662675643401,0.016925768009968905,0.0,0.02338951353867698,0.0039671749542770085,0.016273811955690075,0.0,0.008780195760390698,0.0,0.0,0.0,0.05288484877890502,0.0,0.040398670655561957,0.0011417330515132162,0.0,0.000510096229731416,0.0,0.003803561959466961,0.0,0.0,0.035659147271202785,0.0,0.0,0.0046030161433181505,0.0,0.0,0.009485072132886572,0.0,0.015072456054587362,0.0,0.0,0.003199750209466723,0.0,0.0026106482698065037,0.008532459601233111,0.00010343495663944768,0.020759568625117124,0.020759568625117124,0.0,0.04151913725023425,0.00010343495663944768,0.0,0.00020686991327889537
socioeconomic,0.05883872783471045,0.0,0.037754369471353244,0.0,0.049097426678489486,0.0,0.03541685448154497,0.023623837688950825,0.03983639161010433,0.0,0.022442335768032562,0.0,0.04303565972002066,0.0,0.03546629347203745,0.0,0.03964696175990745,0.0,0.01840836023341952,0.0,0.0327861058931217,0.013057668814157758,0.03599580578048567,0.0,0.05272883233060688,0.0,0.024293957111550357,0.0,0.036364139455637545,0.0,0.04128922265642143,0.0,0.03758103106691568,0.0,0.021460244016313523,0.0,0.02094425911737985,0.0,0.03711850932117999,0.0,0.03148845801500033,0.0,0.04541559624897651,0.0,0.028327481983844605,0.0,0.04170092281734694,0.0,0.033001604420161756,0.0,0.025699639683013586,0.0,0.027905435317325034,0.0,0.04039700943690416,0.0,0.030986364882600204,0.0,0.030753428435371655,0.0,0.04622926865428023,0.0,0.03256733139193868,0.0,0.02036872782529453,0.0,0.025014245760488163,0.0,0.025934934792310127,0.0,0.05215812718183266,0.007711334197939681,0.03995060987905885,0.0,0.03427665489076015,0.0,0.04782718901353944,0.0,0.038386620803763316,0.0,0.05311652619725504,0.0,0.03247603359502904,0.0,0.032297040819308176,0.008131127921074802,0.044616664314531485,0.0,0.05343501126283012,0.0,0.03967439399390138,0.011406033303158295,0.04106709816163856,0.004137788557006168,0.045009707546184274,0.0,0.029482470568817032,0.0,0.03463558675546674,0.0,0.034545669215109376,0.0,0.04374742496569006,0.0,0.033735329063622754,0.0,0.040295073668762615,0.0,0.03350853751673177,0.0,0.03246898138359011,0.0,0.04507502940540431,0.0,0.030461489405539166,0.0,0.051339940611142776,0.0018504832944488004,0.03923147414392392,0.0,0.03368238681855429,0.0,0.03983028747299011,0.0,0.03428200157425054,0.0,0.04740963703899037,0.0,0.03042580267320749,0.0,0.03511336936924303,0.0,0.04519096074797724,0.0,0.03404005825212397,0.0,0.038654936865571865,0.0,0.03318213698220385,0.0,0.02750807865121907,0.0,0.04702113081621906,0.0,0.04294286403112235,0.0,0.03731736625508897,0.0,0.02717823456849322,0.0,0.029430284362320647,0.0,0.0344549754365473,0.0,0.02786724809834895,0.0,0.04540107132693638,0.0019755144693100334,0.034094744306242486,0.0,0.04423286167533247,0.0,0.022742135587595524,0.0060804266726416185,0.04353501525253234,0.0,0.05145236152769972,0.0,0.04291501117023555,0.0,0.021137000222795632,0.0,0.042232977522069226,0.008031564715307696,0.02207770611632165,0.0,0.03855852289979833,0.0,0.02510658533999477,0.0,0.025282598498850395,0.0,0.03515509529055194,0.0,0.04819348948265667,0.00427996822681065,0.040007460838339615,0.0,0.03221678198806455,0.0,0.034901772958316646,0.0,0.03445502942186984,0.0,0.033533505882190284,0.0,0.03279134777681403,0.0,0.03549138358493842,0.0,0.03271618236984908,0.0,0.0,0.0,0.0,0.03271618236984908,0.012499993129100995,0.044396553597245814
