g,Q,t,y
0.028931233033364,75.1290129429919,0,60
0.518074012379923,84.4558550243132,0,94
0.693330989286637,71.6229987395929,1,70
0.128179612835435,83.3358217700374,0,84
0.217310677170133,87.8448599788016,0,80
0.432126896893519,80.9854113487209,0,88
0.06643464043899,77.4642884550376,0,78
0.534290981423274,89.9079802953235,0,104
0.730538789414486,80.0700507694625,1,68
0.126762007153515,82.1052256586494,1,74
0.659909161591693,77.9360442053353,1,64
0.342457983055814,81.4147818957795,0,80
0.501378863396506,81.6094958142456,0,68
0.150930234660454,78.7080343717314,0,82
0.554506163909576,76.1607009453561,1,58
0.402538113360634,78.7606560144063,1,76
0.342641717882155,76.6694766314365,0,74
0.146384522074342,75.0993474287347,0,66
0.252641970105497,83.5419801609631,0,54
0.52341267943913,83.6843758468808,0,84
0.389682840595639,85.5611206023912,1,98
0.127887561900159,76.3278947235923,0,68
0.534283554862016,78.7564564682433,1,76
0.329816637462772,83.9976753926384,0,98
0.623486714845578,83.0751787031393,0,80
0.68347884975756,76.4782607996742,0,90
0.781300176611494,70.407089779239,1,80
0.456847925016756,81.8987741404382,1,82
0.568349460355051,82.0555957134459,1,74
0.297480130354117,82.1962238689983,0,82
0.595067310705122,76.9031910506803,1,46
0.6279568535385,79.2788096222872,0,110
0.848972994268732,75.8655699111109,1,90
0.516119430037975,83.8684172065446,0,92
0.650958579051444,74.8851434409498,1,76
0.645236098395535,82.8792221948911,0,82
0.483048590509257,79.2805060389109,0,92
0.246205673005501,79.2207935081468,0,60
0.355913313132866,84.2688385917589,0,106
0.219266832761571,84.7442613887971,1,76
0.424336601317249,80.8810277889984,0,70
0.536899254211041,78.8885985469625,0,72
0.656480966586359,82.0401665468913,0,70
0.695789894046036,86.3590246315593,0,74
0.241025238037902,83.9369182849456,0,90
0.304163169359038,82.7463129730038,0,78
0.667250893239391,82.9212337606842,0,84
0.428061858215924,80.4965214786591,0,78
0.07180238552456,81.343783898694,0,90
0.513205460246983,72.8212985795501,1,76
0.632665268366937,75.7930349734826,0,82
0.396564847630229,80.9202105198093,1,100
0.671995457590953,76.3455020280078,0,74
