#../do_sensitivity.py -i input_df.csv -b 2 -o sensitivity_output -cov covariates/ -boot bootstrap/ -cut 0.95 -multi 4
alpha,delta,Rsq
0.0001,427.5238724450616,1.0
0.0006000000000000001,71.21834818841798,0.19095918830806438
0.0011,38.82693689235941,0.10015647458725305
0.0016,26.680157656337446,0.0680520841922188
0.0021,20.317559008897437,0.051672568083705836
0.0026,16.4021136873958,0.04174682398150727
0.0031,13.749715243797958,0.035092171401494454
0.0036,11.834094145643983,0.030322534144198283
0.0041,10.385697705576312,0.026737776702605544
0.004600000000000001,9.252170056827698,0.023946177292281042
0.0051,8.34090273136317,0.02171147962838974
0.0056,7.592361714017285,0.01988274024850741
0.0061,6.966532338859245,0.018359014324920195
0.006600000000000001,6.435525596300906,0.01707024008069355
0.0071,5.979308535793044,0.0159662694706158
0.0076,5.583120035878318,0.015010263802825214
0.0081,5.235843696446891,0.014174554064383216
0.0086,4.928948326716784,0.01343795573710793
0.0091,4.655777722891093,0.012783974901760373
0.0096,4.411062390297259,0.012199578589056037
0.0101,4.190576298554284,0.011674332644690246
0.0106,3.9908907815040404,0.011199785046272675
0.011099999999999999,3.809194950674549,0.010769016841725331
0.0116,3.643162553537237,0.010376309860486611
0.0121,3.4908518421137718,0.010016897244872675
0.0126,3.350629282390572,0.009686773680985273
0.0131,3.2211107348599812,0.009382549302018874
0.0136,3.1011156099419486,0.00910133597242205
0.0141,2.989630777571274,0.0088406578789217
0.0146,2.8857818926232586,0.008598380576010204
0.015099999999999999,2.788810417274447,0.008372654190272078
0.0156,2.69805506214031,0.008161867593833584
0.0161,2.6129366855859297,0.00796461115280706
0.0166,2.532945922076985,0.007779646235706645
0.0171,2.4576329809954753,0.007605880092955584
0.0176,2.3865991842935843,0.007442345035402258
0.0181,2.3194899067465062,0.007288181077524405
0.0186,2.2559886548740034,0.007142621391039416
0.0191,2.195812075874397,0.007004980052125489
0.0196,2.138705730497228,0.00687464167127155
0.0201,2.084440496830359,0.006751052576825108
0.0206,2.03280949780751,0.00663371328738047
0.0211,1.9836254655630041,0.006522172058513202
0.0216,1.9367184718483357,0.006416019329209974
0.022099999999999998,1.8919339665370432,0.006314882925048725
0.0226,1.8491310765050084,0.006218423900557704
0.0231,1.8081811254354028,0.006126332923600513
0.0236,1.7689663417839985,0.006038327121147608
0.0241,1.7313787275787156,0.0059541473192173695
0.0246,1.695319065170391,0.005873555620729011
0.0251,1.660696042698654,0.005796333274001131
0.0256,1.627425482042215,0.005722278792033939
0.0261,1.5954296555105525,0.005651206288840284
0.0266,1.564636679600372,0.005582944004175832
0.0271,1.534979975864009,0.005517332992260934
0.0276,1.506397790378955,0.005454225953630479
0.0281,1.4788327645197077,0.00539348619222962
0.0286,1.4522315507534436,0.005334986682377172
0.0291,1.4265444680444326,0.005278609232340868
0.0296,1.401725192183703,0.005224243733063404
0.0301,1.3777304769828,0.005171787482104961
0.0306,1.3545199028015318,0.005121144574171239
0.0311,1.3320556493334863,0.005072225350708078
0.0316,1.3103022899625338,0.00502494590199827
0.032100000000000004,1.2892266053383348,0.004979227616016464
0.032600000000000004,1.2687974141075213,0.00493499676900516
0.033100000000000004,1.2489854189864,0.004892184153343921
0.033600000000000005,1.229763066577216,0.004850724738814199
0.034100000000000005,1.2111044195172738,0.0048105573638191745
0.034600000000000006,1.1929850397134028,0.004771624453517645
0.035100000000000006,1.1753818815563601,0.00473387176217813
0.03560000000000001,1.1582731941340696,0.0046972481373635695
0.03610000000000001,1.1416384315711179,0.004661705303821171
0.0366,1.1254581707175442,0.004627197665186836
0.0371,1.1097140354934392,0.004593682121815726
0.0376,1.0943886272699794,0.00456111790323339
0.0381,1.0794654607321752,0.004529466413857368
0.0386,1.0649289047264336,0.004498691090782264
0.0391,1.050764127646678,0.0044687572725435705
0.0396,1.0369570469578175,0.004439632077885212
0.040100000000000004,1.0234942824956141,0.004411284293655272
0.040600000000000004,1.0103631132172128,0.004383684271038061
0.041100000000000005,0.9975514371086024,0.004356803829410453
0.041600000000000005,0.9850477339833666,0.0043306161671778955
0.042100000000000005,0.972841030932369,0.004305095779007289
0.042600000000000006,0.9609208702065071,0.004280218378928185
0.043100000000000006,0.94927727933508,0.004255960828824591
0.04360000000000001,0.9379007433001478,0.00423230107188123
0.0441,0.9267821786038803,0.004209218070590655
0.0446,0.9159129090801726,0.004186691748960018
0.0451,0.9052846433153058,0.004164702938591259
0.0456,0.8948894535540559,0.0041432333283350185
0.0461,0.8847197559785132,0.004122265417245945
0.0466,0.8747682922565231,0.004101782470590253
0.0471,0.8650281122653651,0.0040817684786771365
0.0476,0.8554925579042694,0.004062208118305474
0.048100000000000004,0.8461552479165868,0.004043086716634868
0.048600000000000004,0.8370100636488134,0.004024390217304647
0.049100000000000005,0.8280511356797768,0.004006105148640571
0.049600000000000005,0.819272831258501,0.003988218593800269
0.050100000000000006,0.8106697424943361,0.003970718162722004
0.050600000000000006,0.8022366752472488,0.003953591965750596
0.051100000000000007,0.7939686386703597,0.003936828588825388
0.05160000000000001,0.7858608353604676,0.00392041707012348
0.05210000000000001,0.7779086520757144,0.003904346878059832
0.0526,0.770107650982686,0.003888607890553741
0.0531,0.7624535613980016,0.003873190375477199
0.0536,0.7549422719921375,0.0038580849722077972
0.0541,0.7475698234255649,0.0038432826742141324
0.0546,0.7403324013895186,0.0038287748126073686
0.0551,0.7332263300256309,0.003814553040596566
0.055600000000000004,0.7262480657006626,0.003800609318791319
0.056100000000000004,0.71939419111411,0.0037869359012977877
0.056600000000000004,0.7126614097181284,0.003773525322559032
0.057100000000000005,0.7060465404306615,0.0037603703848939863
0.057600000000000005,0.6995465126238761,0.0037474641466915108
0.058100000000000006,0.693158361371428,0.0037347999112209
0.058600000000000006,0.6868792229389853,0.003722371216020571
0.05910000000000001,0.680706330503707,0.003710171822831555
0.05960000000000001,0.6746370100891553,0.0036981957080427287
0.0601,0.6686686767031338,0.0036864370536182165
0.0606,0.6627988306667153,0.003674890238478684
0.0611,0.6570250541235273,0.003663549830310577
0.0616,0.6513450077190285,0.0036524105777785386
0.0621,0.6457564274402054,0.003641467403118175
0.0626,0.6402571216067302,0.003630715395087917
0.0631,0.6348449680051654,0.003620149802259691
0.0636,0.6295179111583402,0.0036097660266296177
0.0641,0.6242739597225457,0.0035995596175314214
0.0646,0.6191111840055677,0.003589526265835367
0.0651,0.6140277135991442,0.003579661798418236
0.0656,0.6090217351196489,0.0035699621728886542
0.0661,0.6040914900513398,0.0035604234725549644
0.0666,0.5992352726867591,0.0035510419016224933
0.0671,0.5944514281592056,0.003541813780608033
0.06760000000000001,0.589738350562534,0.0035327355419604496
0.06810000000000001,0.5850944811537739,0.003523803725876476
0.06860000000000001,0.5805183066343508,0.003515014976301775
0.06910000000000001,0.5760083575059501,0.0035063660371080505
0.06960000000000001,0.5715632064972087,0.0034978537484365363
0.07010000000000001,0.5671814670577783,0.0034894750432004546
0.07060000000000001,0.5628617919163568,0.0034812269437377264
0.07110000000000001,0.5586028716995731,0.003473106558606862
0.07160000000000001,0.5544034336087166,0.0034651110795185795
0.07210000000000001,0.5502622401515763,0.003457237778397396
0.0726,0.5461780879266306,0.003449484004565579
0.0731,0.5421498064571543,0.0034418471820444833
0.0736,0.5381762570728605,0.0034343248069675088
0.0741,0.5342563318368028,0.0034269144450989933
0.0746,0.5303889525154387,0.0034196137294543517
0.0751,0.5265730695898313,0.0034124203580165025
0.0756,0.5228076613060992,0.0034053320915443286
0.0761,0.5190917327632809,0.003398346751468471
0.0766,0.5154243150369474,0.0033914622178710225
0.0771,0.5118044643368962,0.003384676427544693
0.0776,0.5082312611974147,0.003377987372128142
0.0781,0.5047038096986423,0.003371393096313902
0.0786,0.5012212367176678,0.003364891696125898
0.0791,0.4977826912080053,0.0033584813172629104
0.0796,0.4943873435062538,0.003352160153505762
0.0801,0.49103438466469995,0.0033459264451847002
0.0806,0.48772302580877136,0.0033397784777047953
0.0811,0.4844524975182679,0.003333714580126828
0.0816,0.48122204923132644,0.003327733123800911
0.0821,0.47803094867016765,0.00332183252105083
0.0826,0.47487848128771615,0.0033160112239071227
0.08310000000000001,0.4717639497341762,0.0033102677228862747
0.08360000000000001,0.4686866733427571,0.0033046005458145207
0.08410000000000001,0.46564598763376014,0.0032990082566944578
0.08460000000000001,0.46264124383621574,0.003293489454611989
0.08510000000000001,0.45967180842642036,0.0032880427726829065
0.08560000000000001,0.4567370626826274,0.003282666877036704
0.08610000000000001,0.4538364022552554,0.0032773604658363773
0.08660000000000001,0.4509692367519878,0.0032721222683327516
0.08710000000000001,0.4481349893371624,0.0032669510439518896
0.08760000000000001,0.44533309634487867,0.0032618455814142394
0.0881,0.4425630069052887,0.0032568046978843617
0.0886,0.4398241825835279,0.003251827238149754
0.0891,0.43711609703081095,0.0032469120738278503
0.0896,0.434438235647207,0.003242058102599982
0.0901,0.4317900952556536,0.0032372642474714215
0.0906,0.4291711837867444,0.0032325294560560216
0.0911,0.42658101997391423,0.0032278526998850607
0.0916,0.42401913305860467,0.0032232329737390633
0.0921,0.42148506250502465,0.0032186692950016264
0.0926,0.4189783577241618,0.003214160703034669
0.0931,0.41649857780668204,0.003209706258574085
0.0936,0.4140452912643869,0.0032053050431450456
0.0941,0.41161807577992743,0.003200956158496475
0.0946,0.40921651796443786,0.0031966587260534997
0.0951,0.4068402131228224,0.003192411886387589
0.0956,0.4044887650264131,0.003188214798703689
0.0961,0.4021617856927114,0.003184066640343448
0.0966,0.3998588951719896,0.0031799666063044413
0.0971,0.39757972134046154,0.0031759139087741335
0.0976,0.3953238996998298,0.0031719077766787208
0.0981,0.39309107318295605,0.0031679474552459104
0.09860000000000001,0.39088089196544207,0.0031640322055811985
0.09910000000000001,0.38869301328291816,0.0031601613042572694
0.09960000000000001,0.3865271012538339,0.003156334042915966
0.10010000000000001,0.3843828267075571,0.0031525497278823535
0.10060000000000001,0.3822598670176044,0.0031488076797905992
0.10110000000000001,0.38015790593981746,0.003145107233221096
0.10160000000000001,0.37807663345531695,0.0031414477363484942
0.10210000000000001,0.3760157456180689,0.0031378285506002304
0.10260000000000001,0.37397494440691414,0.0031342490503253246
0.10310000000000001,0.3719539375819026,0.0031307086224729697
0.10360000000000001,0.36995243854477483,0.0031272066662804037
0.10410000000000001,0.3679701662034887,0.0031237425929703405
0.1046,0.3660068448406097,0.003120315825456868
0.1051,0.36406220398546535,0.0031169257980600534
0.1056,0.36213597828993394,0.003113571956228809
0.1061,0.36022790740774435,0.0031102537562717578
0.1066,0.35833773587716944,0.0031069706650957447
0.1071,0.3564652130070118,0.003103722159951928
0.1076,0.3546100927657567,0.003100507728188893
0.1081,0.3527721336738214,0.003097326867013074
0.1086,0.3509510986987536,0.0030941790832554874
0.1091,0.3491467551533386,0.00309106389314542
0.1096,0.34735887459647674,0.003087980822090152
0.1101,0.34558723273677094,0.0030849294044609362
0.1106,0.3438316093387259,0.0030819091833848345
0.1111,0.34209178813148217,0.0030789197105423292
0.1116,0.3403675567200026,0.003075960545970469
0.1121,0.33865870649863405,0.0030730312578713457
0.1126,0.33696503256697585,0.0030701314224258454
0.1131,0.335286333647976,0.0030672606236123866
0.1136,0.3336224120081932,0.0030644184530305677
0.11410000000000001,0.33197307338015153,0.0030616045097294946
0.11460000000000001,0.33033812688673525,0.003058818400040817
0.11510000000000001,0.3287173849675449,0.0030560597374160435
0.11560000000000001,0.32711066330717165,0.0030533281422682875
0.11610000000000001,0.32551778076531995,0.0030506232418180987
0.11660000000000001,0.3239385593087326,0.0030479446699434153
0.11710000000000001,0.3223728239448578,0.0030452920670334133
0.11760000000000001,0.32082040265720657,0.0030426650798461297
0.11810000000000001,0.31928112634235384,0.0030400633613697843
0.11860000000000001,0.31775482874853866,0.0030374865706878184
0.11910000000000001,0.3162413464157954,0.0030349343728470813
0.11960000000000001,0.31474051861760793,0.0030324064387298143
0.1201,0.3132521873040004,0.00302990244492849
0.1206,0.3117761970460621,0.0030274220736241945
0.1211,0.31031239498182955,0.0030249650124677466
0.1216,0.30886063076352166,0.0030225309544641625
0.1221,0.30742075650605155,0.003020119597859638
0.1226,0.3059926267368146,0.003017730646031674
0.1231,0.3045760983466952,0.0030153638073818346
0.1236,0.30317103054225475,0.003013018795231008
0.1241,0.3017772847990917,0.003010695327717578
0.1246,0.30039472481630725,0.003008393127697758
0.1251,0.2990232164720745,0.0030061119226485896
0.1256,0.2976626277802649,0.0030038514445732347
0.1261,0.2963128288481023,0.003001611429908479
0.1266,0.29497369183483596,0.0029993916194347957
0.1271,0.2936450909113682,0.0029971917581881457
0.1276,0.2923269022208431,0.0029950115953741477
0.1281,0.29101900384015594,0.002992850884284247
0.1286,0.2897212757423693,0.002990709382214075
0.1291,0.28843359975997884,0.0029885868503832518
0.1296,0.28715585954905803,0.00298648305385767
0.1301,0.285887940554208,0.0029843977614731833
0.1306,0.28462972997432795,0.0029823307457613807
0.1311,0.2833811167291513,0.0029802817828767573
0.1316,0.2821419914265672,0.002978250652526033
0.1321,0.280912246330665,0.00297623713789872
0.1326,0.2796917753305093,0.0029742410255994547
0.1331,0.27848047390961744,0.0029722621055818586
0.1336,0.27727823911612715,0.0029703001710840267
0.1341,0.2760849695336262,0.0029683550185653647
0.1346,0.27490056525263,0.0029664264476448278
0.1351,0.2737249278426976,0.002964514261040671
0.1356,0.2725579603251713,0.002962618264511698
0.1361,0.2713995671464932,0.00296073826679933
0.1366,0.2702496541521405,0.0029588740795716746
0.1371,0.26910812856110167,0.002957025517368214
0.1376,0.26797489894092696,0.00295519239754611
0.1381,0.2668498751833174,0.002953374540227624
0.1386,0.2657329684802363,0.002951571768248593
0.1391,0.26462409130054204,0.002949783907108141
0.1396,0.2635231573671192,0.0029480107849194463
0.1401,0.26243008163450815,0.0029462522323617612
0.1406,0.26134478026699176,0.002944508082633037
0.1411,0.260267170617177,0.0029427781714042246
0.1416,0.25919717120500263,0.0029410623367739494
0.1421,0.2581347016972058,0.0029393604192245186
0.1426,0.2570796828872191,0.0029376722615788347
0.1431,0.2560320366754859,0.0029359977089581713
0.1436,0.25499168605018624,0.0029343366087408312
0.1441,0.25395855506836423,0.0029326888105216907
0.14459999999999998,0.2529325688374548,0.0029310541660727877
0.14509999999999998,0.25191365349717815,0.002929432529304408
0.14559999999999998,0.2509017362018217,0.0029278237562273364
0.14609999999999998,0.24989674510287227,0.0029262277049155704
0.14659999999999998,0.24889860933202163,0.0029246442354702554
0.14709999999999998,0.24790725898449323,0.0029230732099837647
0.14759999999999998,0.24692262510273427,0.002921514492505145
0.14809999999999998,0.24594463966041966,0.0029199679490058555
0.14859999999999998,0.2449732355467883,0.0029184334473464314
0.14909999999999998,0.2440083465512901,0.00291691085724373
0.14959999999999998,0.24304990734854304,0.0029154000502388967
0.15009999999999998,0.24209785348358817,0.002913900899665937
0.15059999999999998,0.24115212135744465,0.0029124132806210537
0.15109999999999998,0.24021264821294433,0.002910937069932471
0.15159999999999998,0.2392793721208463,0.002909472146130822
0.15209999999999999,0.23835223196623917,0.002908018389420506
0.15259999999999999,0.23743116743518725,0.002906575681651021
0.15309999999999999,0.23651611900166064,0.0029051439062894465
0.1536,0.23560702791470545,0.0029037229483930777
0.1541,0.23470383618587498,0.0029023126945829027
0.1546,0.23380648657689596,0.002900913033017372
0.1551,0.23291492258757313,0.002899523853366698
0.1556,0.23202908844394116,0.002898145046787999
0.1561,0.2311489290866224,0.002896776505900402
0.1566,0.23027439015942783,0.0028954181247611258
0.1571,0.22940541799815978,0.002894069798841639
0.1576,0.2285419596196417,0.0028927314250046404
0.1581,0.22768396271094365,0.0028914029014811614
0.1586,0.22683137561881977,0.0028900841278483164
0.1591,0.22598414733934216,0.0028887750050074364
0.1596,0.2251422275077312,0.002887475435162637
0.1601,0.22430556638837315,0.002886185321799734
0.1606,0.22347411486502586,0.0028849045696655896
0.1611,0.22264782443120953,0.002883633084747938
0.1616,0.22182664718076978,0.002882370774255425
0.1621,0.22101053579862512,0.002881117546598282
0.1626,0.22019944355167073,0.0028798733113689985
0.1631,0.21939332427986666,0.002878637979323794
0.1636,0.2185921323874743,0.0028774114623640523
0.1641,0.2177958228344628,0.0028761936735183517
0.1646,0.2170043511280684,0.0028749845269247436
0.1651,0.21621767331450467,0.002873783937813283
0.1656,0.21543574597082843,0.0028725918224890385
0.1661,0.21465852619695258,0.002871408098315416
0.1666,0.21388597160779388,0.0028702326836975494
0.1671,0.21311804032557197,0.002869065498066285
0.1676,0.21235469097224174,0.0028679064618623157
0.1681,0.21159588266205964,0.002866755496520599
0.1686,0.21084157499428732,0.0028656125244551868
0.1691,0.21009172804601714,0.002864477469044124
0.1696,0.20934630236512994,0.0028633502546147687
0.1701,0.20860525896337812,0.0028622308064294097
0.1706,0.20786855930958528,0.002861119050671005
0.1711,0.207136165322968,0.002860014914429254
0.1716,0.20640803936657576,0.00285891832568696
0.1721,0.2056841442408428,0.0028578292133065713
0.1726,0.20496444317725176,0.00285674750701695
0.1731,0.20424889983210973,0.0028556731374004543
0.1736,0.20353747828043084,0.002854606035880213
0.1741,0.20283014300992225,0.002853546134707581
0.1746,0.20212685891507454,0.002852493366949831
0.1751,0.20142759129135696,0.0028514476664781834
0.1756,0.20073230582950582,0.0028504089679558496
0.17609999999999998,0.20004096860991363,0.0028493772068264086
0.17659999999999998,0.19935354609711464,0.002848352319302403
0.17709999999999998,0.19867000513435973,0.0028473342423540144
0.17759999999999998,0.19799031293828662,0.0028463229136980505
0.17809999999999998,0.19731443709367957,0.002845318271787111
0.17859999999999998,0.19664234554831395,0.002844320255798846
0.17909999999999998,0.19597400660789185,0.0028433288056255385
0.17959999999999998,0.19530938893105823,0.0028423438618637494
0.18009999999999998,0.19464846152450085,0.002841365365804156
0.18059999999999998,0.19399119373813523,0.0028403932594216717
0.18109999999999998,0.19333755526036353,0.002839427485365573
0.18159999999999998,0.19268751611341656,0.0028384679869499167
0.18209999999999998,0.19204104664877017,0.0028375147081440666
0.18259999999999998,0.19139811754263764,0.0028365675935633924
0.18309999999999998,0.19075869979153587,0.0028356265884601204
0.18359999999999999,0.190122764707924,0.0028346916387143543
0.18409999999999999,0.18949028391591272,0.0028337626908252075
0.1846,0.1888612293470429,0.0028328396919020983
0.1851,0.18823557323613577,0.002831922589656265
0.1856,0.18761328811720507,0.0028310113323922795
0.1861,0.18699434681944022,0.0028301058689998537
0.1866,0.1863787224632498,0.002829206148945645
0.1871,0.18576638845637133,0.0028283121222652955
0.1876,0.18515731849004116,0.0028274237395555257
0.1881,0.18455148653522782,0.0028265409519664447
0.1886,0.18394886683892284,0.0028256637111938945
0.1891,0.1833494339204941,0.0028247919694720466
