ghat,Qhat,t,y
0.028931233033363844,75.1290129429919,0,60
0.5180740123799229,84.45585502431321,0,94
0.6933309892866372,71.6229987395929,1,70
0.12817961283543478,83.3358217700374,0,84
0.2173106771701332,87.8448599788016,0,80
0.43212689689351863,80.9854113487209,0,88
0.06643464043898958,77.46428845503759,0,78
0.5342909814232741,89.90798029532351,0,104
0.7305387894144864,80.0700507694625,1,68
0.1267620071535155,82.1052256586494,1,74
0.659909161591693,77.93604420533529,1,64
0.34245798305581376,81.4147818957795,0,80
0.5013788633965065,81.60949581424559,0,68
0.1509302346604543,78.7080343717314,0,82
0.5545061639095759,76.1607009453561,1,58
0.4025381133606344,78.7606560144063,1,76
0.34264171788215464,76.6694766314365,0,74
0.14638452207434205,75.0993474287347,0,66
0.25264197010549705,83.54198016096309,0,54
0.5234126794391297,83.6843758468808,0,84
0.3896828405956392,85.5611206023912,1,98
0.12788756190015932,76.3278947235923,0,68
0.5342835548620165,78.7564564682433,1,76
0.3298166374627716,83.99767539263841,0,98
0.6234867148455778,83.0751787031393,0,80
0.6834788497575598,76.4782607996742,0,90
0.7813001766114936,70.407089779239,1,80
0.456847925016756,81.8987741404382,1,82
0.568349460355051,82.0555957134459,1,74
0.29748013035411736,82.1962238689983,0,82
0.5950673107051224,76.90319105068029,1,46
0.6279568535384996,79.27880962228721,0,110
0.8489729942687321,75.86556991111091,1,90
0.5161194300379752,83.86841720654459,0,92
0.6509585790514443,74.88514344094979,1,76
0.6452360983955346,82.87922219489108,0,82
0.48304859050925714,79.2805060389109,0,92
0.24620567300550084,79.2207935081468,0,60
0.3559133131328664,84.26883859175891,0,106
0.2192668327615714,84.7442613887971,1,76
0.4243366013172486,80.88102778899841,0,70
0.5368992542110409,78.8885985469625,0,72
0.656480966586359,82.0401665468913,0,70
0.6957898940460355,86.3590246315593,0,74
0.24102523803790246,83.93691828494559,0,90
0.3041631693590378,82.7463129730038,0,78
0.6672508932393915,82.9212337606842,0,84
0.4280618582159237,80.49652147865909,0,78
0.07180238552455961,81.343783898694,0,90
0.5132054602469827,72.82129857955009,1,76
0.6326652683669366,75.79303497348259,0,82
0.3965648476302295,80.92021051980929,1,100
0.6719954575909534,76.3455020280078,0,74
0.8199631292071735,75.49574398105129,0,78
0.11338802215272197,84.4086987049194,0,80
0.29589414962317023,76.0751925895522,0,80
0.18583300005694553,78.8427849044607,0,66
0.7867388463956111,80.1178249123271,1,54
0.5087870918565044,84.1355057835085,0,84
0.33126420842564147,83.3358899610247,1,92
0.40969869363861505,78.44812683599,1,74
0.6648800564438745,71.72077395962741,1,0
0.5950532441209792,74.599556188484,1,70
0.09653019279918658,80.6320415878928,0,74
0.607350224104936,83.1293153078731,1,82
0.33675783021424766,81.2681758228557,0,74
0.28842783238427516,78.8415335030756,0,90
0.36593875194934794,82.09600559788049,1,80
0.6179069495383386,77.61726155713801,1,76
0.09710710291232251,83.46562476783191,1,60
0.4323971064989587,75.881478495801,1,90
0.6368329467850232,69.0822528627989,1,68
0.6465627918547782,75.2083971191958,1,88
0.6422531036128407,67.3287261282835,1,60
0.23820951303664067,89.042230759526,0,92
0.5023752816121227,79.1396651256652,0,78
0.30686378784053175,75.441631193701,1,98
0.2489191699301751,79.8820830121838,1,86
0.399509546913961,76.8887924913245,0,72
0.5677399000618388,83.3308092184021,0,90
0.6256756544345469,73.5472714409847,1,86
0.5356004607901323,85.6896242417233,0,80
0.6089890235252856,77.44555185284341,1,88
0.7470098421059924,74.74082477008709,0,68
0.4065777591353985,75.8561405875021,1,68
0.5499256591968548,75.55056075252651,0,72
0.41316612185560664,87.4429443411641,1,80
0.17002246059004544,77.0658188756825,1,80
0.12661317888873302,80.5634483458823,0,70
0.15989355621115905,80.7497277056175,0,80
0.3285861211619797,85.88292520891271,0,88
0.3933907072666172,82.535927159529,1,88
0.07678223258348431,84.5615368331519,1,68
0.722005652887852,70.1247917426589,1,68
0.15104873985210115,79.2740948573636,0,68
0.33096089365244774,77.0589421187636,0,82
0.4044706200152406,73.319100925751,0,58
0.31043384827594434,81.816359999804,0,82
0.7539213363113647,69.9745193578263,1,50
0.6869223202601527,73.7025883467455,1,64
0.4822188866288601,86.47713789736142,0,66
0.536040864303578,79.3896272922267,0,82
0.739754264255642,74.3837772032573,1,74
0.6998949654197365,74.32550244312209,1,66
0.48212848950618975,83.46275339714592,1,88
0.556614981711523,87.39092963443831,1,98
0.21951476195795486,93.6786745632426,0,80
0.5094976634950054,82.3214933237801,1,86
0.41873308900757544,81.5069474433602,0,72
0.7040569094508473,78.72762288910279,1,76
0.7663195899025056,79.5962563271235,1,94
0.6009914231342209,76.9666722262473,1,80
0.3224679398740258,84.8648626534227,0,88
0.805549626252474,68.1380216024427,1,64
0.21749421960427925,87.9414896268129,0,76
0.5584381596139402,86.12605865897379,1,70
0.3740206855082289,72.251670795207,1,76
0.7024823521674802,82.9220098548105,1,60
0.7070476248621886,87.66800820620921,1,78
0.20478871767820786,88.2840955099872,0,74
0.8031947838369811,80.3384515476771,1,82
0.47431657435432356,77.18023880704,1,66
0.7878708790405768,84.95040343586679,0,86
0.5679658528187596,80.90877510984299,1,68
0.6240303148625798,76.9965881988576,1,80
0.08787911628284169,80.03745173312191,1,76
0.5858654307618483,84.7146872514192,1,88
0.6038881935930928,79.5659903849064,1,72
0.6726803989789354,77.09178778382291,1,64
0.5276794539277722,73.1268384542634,1,70
0.520208801388942,79.3425265380139,0,82
0.4946784590560915,83.4814885381752,0,70
0.4197178530141481,82.6102278145287,1,80
0.5051474772622724,85.56557157667491,1,88
0.7640046015312473,72.54285641656979,1,72
0.32578198181691226,80.349616989357,0,72
0.569002090564224,78.9195087401298,0,58
0.23365184702366606,86.4712941923884,0,108
0.4605349963382728,88.93202965479651,0,96
0.47867201011888655,77.45945928872959,0,74
0.5363146250578329,80.3502068052613,0,74
0.48811746879622286,76.002247749654,1,74
0.13416596778967452,86.50729525201972,0,84
0.4981041525417525,77.487156106748,0,74
0.3493638604307093,79.1100664196895,1,80
0.25483354427699795,84.14921207346819,0,96
0.29826689894743524,82.3547774849499,0,92
0.11132716492476538,86.0853718886073,0,92
0.40338180087368686,79.2999425235856,0,74
0.2578350260341703,83.1658405733482,1,84
0.6131878177423823,77.5216582432084,0,72
0.5002869109627655,84.6255768068842,0,98
0.12341184940768439,83.0656285053314,0,96
0.4194576509299995,80.920232780484,0,72
0.6162987805880514,80.41993433086209,1,90
0.690440622201756,81.41431865079251,0,90
0.4307300024372592,85.72011688244001,0,78
0.7617713025010553,75.27930414170841,1,72
0.7366031119442811,81.06362896000691,1,60
0.6324988083137923,78.51706478763741,1,84
