ghat,Qhat,t,y
0.010325984259213062,68.4460180195942,0,60
0.15809074095307765,84.0086794831732,0,94
0.7354445834908179,69.5827504305832,1,70
0.12146763135354145,83.92324473596871,0,84
0.1820055641879838,87.6158659715537,0,80
0.7610467641311878,73.0615240191419,0,88
0.03571810362791439,78.12168098158901,0,78
0.6046759510686454,91.8979329940527,0,104
0.8761973543345987,76.38634644203471,1,68
0.39967439180086234,81.82525986230179,1,74
0.8806674319673612,74.1222529893315,1,64
0.49419978412568405,79.1031465982369,0,80
0.4493504249422642,82.8583626102433,0,68
0.3554135761859148,80.92769175797409,0,82
0.5600126186124171,80.9511844591867,1,58
0.30691120281533635,78.8006733476039,1,76
0.10775699095134532,78.72037033941629,0,74
0.11183145554243784,79.09326513276521,0,66
0.06383163584358623,74.0272304374203,0,54
0.7075857617202005,80.7328142281824,0,84
0.4115540433855657,86.4939242073717,1,98
0.03429442196772139,73.93822078178991,0,68
0.7963489899672396,73.8215588157917,1,76
0.41092820064746904,79.9535586599298,0,98
0.4677007398332794,87.01466443134359,0,80
0.6422339334967333,75.7340251328449,0,90
0.8091647641163232,69.8821817720147,1,80
0.6530431299630359,83.0695512199808,1,82
0.6485273875072765,81.4663730190443,1,74
0.3748962152241572,80.3872144743923,0,82
0.8287150501161168,74.6127154964502,1,46
0.5067284606144411,81.1987145385567,0,110
0.879275795764851,75.9261682649217,1,90
0.6181847743365689,80.5741578204481,0,92
0.8373143092818454,70.1908424746245,1,76
0.6552647683106546,79.7168457775912,0,82
0.41564271391043867,80.96309267672159,0,92
0.11594312852304636,77.7504165900239,0,60
0.26431226144998266,85.42670255018021,0,106
0.3312707274437813,83.09872932063841,1,76
0.5069571541204424,77.317472377978,0,70
0.6497806966104256,78.86700839797109,0,72
0.7857071475543841,78.78463256914699,0,70
0.5157619435464066,84.797068751568,0,74
0.2585631752596119,89.1368948102594,0,90
0.4223245857770506,81.9206537270655,0,78
0.7641689244119628,76.7923174510134,0,84
0.21200863627130845,81.0465123222129,0,78
0.12397780947570414,85.00719877513279,0,90
0.47584967901534375,75.323663353757,1,76
0.5973862215569316,78.0040699259454,0,82
0.2913071621885182,85.2538560186962,1,100
0.3906669431041298,77.8419547249993,0,74
0.5765158489439294,77.4722807091082,0,78
0.07807842090865769,85.8632562849599,0,80
0.6642142992215939,74.07251527674521,0,80
0.09037819572516617,76.009544613665,0,66
0.5556886983925035,83.9078873935115,1,54
0.4322580830385499,85.6138005223373,0,84
0.5238332507677859,86.2183224785555,1,92
0.45810737587701683,80.4690139157728,1,74
0.755600647771073,75.3126978676199,1,0
0.8303412591423549,73.0318122857909,1,70
0.07780638880218797,80.2061184221222,0,74
0.4661764794674409,87.6015989130492,1,82
0.19980161431434396,85.6326756180257,0,74
0.25497920577288913,81.4814003033415,0,90
0.38136407818928086,85.1635571542548,1,80
0.7400366684067009,78.07089736033629,1,76
0.6858650133516054,77.22393228405909,1,60
0.5189843734341417,80.1089076408555,1,90
0.7367392453136605,71.45490808338329,1,68
0.7253941513078358,77.0296679764752,1,88
0.6925144478376323,68.0618053554431,1,60
0.308789636563105,90.3679130879363,0,92
0.6859000503453206,75.49652683573309,0,78
0.3562050589380373,80.1048326084739,1,98
0.194189413401894,83.3305630211037,1,86
