ghat,Qhat,t,y
0.030075211287100608,72.41905660707151,0,60
0.12663472777009221,83.6464279876382,0,94
0.7251123958605763,66.3372416583161,1,70
0.2747196922225258,88.02487594668942,0,84
0.37559104562028994,87.6289606317992,0,80
0.847632225356218,73.7403349320467,0,88
0.10557863131369769,79.37694134121571,0,78
0.4445893245829571,86.79128623039992,0,104
0.8710498725875836,75.66733966740141,1,68
0.5721861579102727,74.6755712332682,1,74
0.8632675931419445,71.1334502461039,1,64
0.4804758946137461,80.25680467488391,0,80
0.40491648853867207,82.9455399561655,0,68
0.39515930165433394,83.491836246433,0,82
0.48451548174093473,79.0214178120512,1,58
0.313143019450973,80.7098240756097,1,76
0.12116427948851485,82.1987740954898,0,74
0.18337533452561394,79.5470168821028,0,66
0.03590611057873499,73.9944859333111,0,54
0.7020410540691745,86.3720085756427,0,84
0.5368883284880211,85.9519049508844,1,98
0.060708066345291405,74.1586853025473,0,68
0.7747383548915869,70.1712783872099,1,76
0.543443408661776,78.67143868960379,0,98
0.32357737179865004,84.11978720630749,0,80
0.6396769497052449,80.3777743338098,0,90
0.8134590072960514,66.2631355548061,1,80
0.5825767624667043,82.0800731406148,1,82
0.6618744095135828,80.310914218468,1,74
0.3557156670137227,81.68862726785109,0,82
0.8351422629807628,71.2184701752125,1,46
0.4387972776964447,81.6183685068836,0,110
0.8411471796780879,76.7443695334883,1,90
0.5066387008588812,83.90476240997391,0,92
0.7943582697631435,67.23096263310521,1,76
0.5141795469415539,80.30355564483509,0,82
0.39162345040155555,83.2299456380322,0,92
0.08701611340432595,77.0741708634265,0,60
0.14237268188139468,83.5243241562177,0,106
0.39046611880827486,80.9872678149973,1,76
0.5937183351849121,79.41948170232321,0,70
0.6221811030981526,85.2310295451456,0,72
0.6124348462009476,76.8610403814273,0,70
0.4100923101421088,86.53394210093141,0,74
0.3748189968011158,85.7977554832828,0,90
0.4291858589952101,79.3393762020482,0,78
0.7801932262998413,81.5310849124924,0,84
0.19152687986343717,79.0792251560312,0,78
0.23308623718638813,85.1430640662493,0,90
0.43444796379850703,74.8028827829947,1,76
0.5107204080842377,78.926082409011,0,82
0.2090320071341373,82.8957973035468,1,100
0.36805428679347935,78.7710513585095,0,74
0.5925591698416477,81.04609765604191,0,78
0.12439183809014272,84.2914246128011,0,80
0.767274594642153,79.14389306107199,0,80
0.14588262743679425,77.4441074936693,0,66
0.6009717928523779,81.78651225067209,1,54
0.30038515005752453,86.45219702979391,0,84
0.42474455443771686,85.113050251121,1,92
0.33043294638137305,81.24377334478879,1,74
0.7558816680727083,74.3126477521094,1,0
0.8091986959986824,71.658409936857,1,70
0.11766407953125388,80.06727442852299,0,74
0.4121939954052181,90.6351294642548,1,82
0.25611628066651226,83.40643947175009,0,74
0.3311727591925878,81.7886627741315,0,90
0.364744875758319,86.7587751172674,1,80
0.711140281555212,76.0736730693424,1,76
0.7424749495994551,71.5029336059202,1,60
0.503344408578694,80.187025585943,1,90
0.7477113581980008,69.7539321684401,1,68
0.686886549695789,75.0584724100345,1,88
0.7308054952304961,70.5035137290162,1,60
0.3987290966995012,87.62541458526181,0,92
0.6697194961333112,79.2939999483006,0,78
0.4024529430623158,82.0464279301969,1,98
0.13800611613483724,86.12924710848009,1,86
0.05220741893619787,73.20097104963341,0,72
0.5353164704248877,85.63694347347071,0,90
0.32392926716642195,83.08578840631971,1,86
0.0778362533112327,81.28109804564541,0,80
0.7165998111974495,78.714059053612,1,88
0.8536226014560998,74.09169759844579,0,68
0.46882331848938175,75.3907157308372,1,68
0.40210893223951805,81.619269453967,0,72
0.442040692043513,83.1594387675907,1,80
0.5793070687871831,78.1819833758667,1,80
0.08890111075588251,83.2567957868233,0,70
0.3191744866855241,80.8800883814837,0,80
0.1695851539824415,90.0537366099518,0,88
0.4927290741996903,81.8201691798308,1,88
0.19259967705036327,83.5300664888324,1,68
0.5784756530260342,76.79333972591459,1,68
0.08857886491644967,76.50704187549191,0,68
0.21783936102539242,80.121715800484,0,82
0.48507541847179086,75.52212559590909,0,58
0.32509489008788595,79.1578457436398,0,82
0.8435260646775171,65.89115051109741,1,50
0.8228864254429138,70.3152045962179,1,64
0.12204799701061243,86.5460227008527,0,66
0.38014038875358747,81.130976248579,0,82
0.7330847557205542,73.31623365365941,1,74
0.8121584259072473,69.8799110674366,1,66
0.2588252101840487,86.64498278420179,1,88
0.32392429616965157,84.0846223987946,1,98
0.30146775218728,90.9215998209361,0,80
0.7797269314505202,76.5307607768527,1,86
0.06945491902614745,80.05827217576801,0,72
0.6651583955641298,72.6716975262236,1,76
0.7498877484236451,79.17401533395841,1,94
0.6422401417138232,75.7081581768782,1,80
0.3183845208642403,85.2764482163372,0,88
0.7742672356198899,70.55044559345271,1,64
0.07083371461158561,87.0907208321535,0,76
0.4608336843641751,83.4905094769856,1,70
0.7899358810283047,72.05232259156071,1,76
0.7268623531237294,79.3021993447575,1,60
0.7647619566300958,80.8660017615334,1,78
0.36614006814523525,88.4399230852533,0,74
0.7494900931526007,76.9235471868994,1,82
0.8066998735709258,69.8698971533787,1,66
0.41323901696306337,84.1261973244755,0,86
0.6393379376203858,80.0019920429578,1,68
0.6779302332184943,74.590786368519,1,80
0.5079752357461655,83.046820596909,1,76
0.5545708721682463,83.2937322537906,1,88
0.7344667873837828,80.2638215419619,1,72
0.5857606402112141,84.4693603109515,1,64
0.8144892064178423,67.1634607042861,1,70
0.6384081287376505,81.245443769572,0,82
0.2854993944875123,88.0598251063343,0,70
0.13502306795297359,84.8138397300305,1,80
0.6924627190497258,80.3844609735413,1,88
0.8523123723168293,67.1426049650056,1,72
0.19575127333703005,81.019009300273,0,72
0.48508089607287325,82.2365821840569,0,58
0.13136224494753254,87.9508181589854,0,108
0.28104036737248034,82.6178517269049,0,96
0.04579256314306849,74.44058634102029,0,74
0.6108972937763564,84.3059868915138,0,74
0.7146384878524933,71.59154058674159,1,74
0.01864047934455908,79.8572003960972,0,84
0.09149264283508889,73.4160532432308,0,74
0.24072314319817176,81.3268453831568,1,80
0.122174033382382,84.2737155693188,0,96
0.34238444389797473,85.2535957580425,0,92
0.255251353112217,86.5072054028594,0,92
0.4419569004659917,83.91716396705041,0,74
0.49910096356326533,79.3928074346038,1,84
0.8594999476817867,68.1366985143534,0,72
0.5709197860056446,83.33424957852101,0,98
0.3603575560819555,82.9257817279054,0,96
