covariate_name,ahat_bootstrap1,Rsqhat_bootstrap1,ahat_bootstrap10,Rsqhat_bootstrap10,ahat_bootstrap100,Rsqhat_bootstrap100,ahat_bootstrap11,Rsqhat_bootstrap11,ahat_bootstrap12,Rsqhat_bootstrap12,ahat_bootstrap13,Rsqhat_bootstrap13,ahat_bootstrap14,Rsqhat_bootstrap14,ahat_bootstrap15,Rsqhat_bootstrap15,ahat_bootstrap16,Rsqhat_bootstrap16,ahat_bootstrap17,Rsqhat_bootstrap17,ahat_bootstrap18,Rsqhat_bootstrap18,ahat_bootstrap19,Rsqhat_bootstrap19,ahat_bootstrap2,Rsqhat_bootstrap2,ahat_bootstrap20,Rsqhat_bootstrap20,ahat_bootstrap21,Rsqhat_bootstrap21,ahat_bootstrap22,Rsqhat_bootstrap22,ahat_bootstrap23,Rsqhat_bootstrap23,ahat_bootstrap24,Rsqhat_bootstrap24,ahat_bootstrap25,Rsqhat_bootstrap25,ahat_bootstrap26,Rsqhat_bootstrap26,ahat_bootstrap27,Rsqhat_bootstrap27,ahat_bootstrap28,Rsqhat_bootstrap28,ahat_bootstrap29,Rsqhat_bootstrap29,ahat_bootstrap3,Rsqhat_bootstrap3,ahat_bootstrap30,Rsqhat_bootstrap30,ahat_bootstrap31,Rsqhat_bootstrap31,ahat_bootstrap32,Rsqhat_bootstrap32,ahat_bootstrap33,Rsqhat_bootstrap33,ahat_bootstrap34,Rsqhat_bootstrap34,ahat_bootstrap35,Rsqhat_bootstrap35,ahat_bootstrap36,Rsqhat_bootstrap36,ahat_bootstrap37,Rsqhat_bootstrap37,ahat_bootstrap38,Rsqhat_bootstrap38,ahat_bootstrap39,Rsqhat_bootstrap39,ahat_bootstrap4,Rsqhat_bootstrap4,ahat_bootstrap40,Rsqhat_bootstrap40,ahat_bootstrap41,Rsqhat_bootstrap41,ahat_bootstrap42,Rsqhat_bootstrap42,ahat_bootstrap43,Rsqhat_bootstrap43,ahat_bootstrap44,Rsqhat_bootstrap44,ahat_bootstrap45,Rsqhat_bootstrap45,ahat_bootstrap46,Rsqhat_bootstrap46,ahat_bootstrap47,Rsqhat_bootstrap47,ahat_bootstrap48,Rsqhat_bootstrap48,ahat_bootstrap49,Rsqhat_bootstrap49,ahat_bootstrap5,Rsqhat_bootstrap5,ahat_bootstrap50,Rsqhat_bootstrap50,ahat_bootstrap51,Rsqhat_bootstrap51,ahat_bootstrap52,Rsqhat_bootstrap52,ahat_bootstrap53,Rsqhat_bootstrap53,ahat_bootstrap54,Rsqhat_bootstrap54,ahat_bootstrap55,Rsqhat_bootstrap55,ahat_bootstrap56,Rsqhat_bootstrap56,ahat_bootstrap57,Rsqhat_bootstrap57,ahat_bootstrap58,Rsqhat_bootstrap58,ahat_bootstrap59,Rsqhat_bootstrap59,ahat_bootstrap6,Rsqhat_bootstrap6,ahat_bootstrap60,Rsqhat_bootstrap60,ahat_bootstrap61,Rsqhat_bootstrap61,ahat_bootstrap62,Rsqhat_bootstrap62,ahat_bootstrap63,Rsqhat_bootstrap63,ahat_bootstrap64,Rsqhat_bootstrap64,ahat_bootstrap65,Rsqhat_bootstrap65,ahat_bootstrap66,Rsqhat_bootstrap66,ahat_bootstrap67,Rsqhat_bootstrap67,ahat_bootstrap68,Rsqhat_bootstrap68,ahat_bootstrap69,Rsqhat_bootstrap69,ahat_bootstrap7,Rsqhat_bootstrap7,ahat_bootstrap70,Rsqhat_bootstrap70,ahat_bootstrap71,Rsqhat_bootstrap71,ahat_bootstrap72,Rsqhat_bootstrap72,ahat_bootstrap73,Rsqhat_bootstrap73,ahat_bootstrap74,Rsqhat_bootstrap74,ahat_bootstrap75,Rsqhat_bootstrap75,ahat_bootstrap76,Rsqhat_bootstrap76,ahat_bootstrap77,Rsqhat_bootstrap77,ahat_bootstrap78,Rsqhat_bootstrap78,ahat_bootstrap79,Rsqhat_bootstrap79,ahat_bootstrap8,Rsqhat_bootstrap8,ahat_bootstrap80,Rsqhat_bootstrap80,ahat_bootstrap81,Rsqhat_bootstrap81,ahat_bootstrap82,Rsqhat_bootstrap82,ahat_bootstrap83,Rsqhat_bootstrap83,ahat_bootstrap84,Rsqhat_bootstrap84,ahat_bootstrap85,Rsqhat_bootstrap85,ahat_bootstrap86,Rsqhat_bootstrap86,ahat_bootstrap87,Rsqhat_bootstrap87,ahat_bootstrap88,Rsqhat_bootstrap88,ahat_bootstrap89,Rsqhat_bootstrap89,ahat_bootstrap9,Rsqhat_bootstrap9,ahat_bootstrap90,Rsqhat_bootstrap90,ahat_bootstrap91,Rsqhat_bootstrap91,ahat_bootstrap92,Rsqhat_bootstrap92,ahat_bootstrap93,Rsqhat_bootstrap93,ahat_bootstrap94,Rsqhat_bootstrap94,ahat_bootstrap95,Rsqhat_bootstrap95,ahat_bootstrap96,Rsqhat_bootstrap96,ahat_bootstrap97,Rsqhat_bootstrap97,ahat_bootstrap98,Rsqhat_bootstrap98,ahat_bootstrap99,Rsqhat_bootstrap99,ahat,Rsqhat,Rsqhat_main,Rsqhat_ci_lower,Rsqhat_ci_upper,ahat_main,ahat_ci_lower,ahat_ci_upper
age,0.12822939458994087,0.01800923951174653,0.14411556078751164,0.045298400112707166,0.14575286994653347,0.05817255881116895,0.1715849645205939,0.06991620844277013,0.1518471910420366,0.06692623132856386,0.12920550137469922,0.04440901610139248,0.1515495635006333,0.037628336045373835,0.16695955704191734,0.07120646191651132,0.13955763606655225,0.08341076462724574,0.1446479655859524,0.06215585201507473,0.16895439512518173,0.10857526255210306,0.1532873619993811,0.028305146493895476,0.15692738250951133,0.0675530940585224,0.13351217047177855,0.015781706540686318,0.1422648830892833,0.031135484009253093,0.15359865442049092,0.05784487227481711,0.1673401118405361,0.06590157786081641,0.15632225326999183,0.03814747910906264,0.1258138743020898,0.09468229907903365,0.15095007222810586,0.045471106764823827,0.15098481372598782,0.040943173266295596,0.1428076925300541,0.07123394362104897,0.1336208355346239,0.05859411740130525,0.15192449744823922,0.0304017697083902,0.13452662230558854,0.009485459657219192,0.16186520520761394,0.04539853404777049,0.1497252639512766,0.05811758820166349,0.1406884016928278,0.07651576369698851,0.1610037692702352,0.03477502408192811,0.13709148619728684,0.022722129984438805,0.13339976264962317,0.07269566800386272,0.14033690064666915,0.07368762198524652,0.15304172837652608,0.06565443448536057,0.1589049416955043,0.04865593205155537,0.1326274697652703,0.036570946135250415,0.1296891259654258,0.07580937738030634,0.1365872090808551,0.03890974903435669,0.16024112034648696,0.059316278450895536,0.1448370863992534,0.09478463032118707,0.1371395133035186,0.07552059435137466,0.172358600112976,0.06920908912720877,0.16807556096178344,0.0506987600771902,0.1457166627802523,0.046430182011719966,0.12597746191841908,0.08277280089442998,0.15124820466772848,0.041518091918938405,0.1421677580969989,0.09768728001614471,0.16153528467872857,0.07838178655201682,0.13917640021164035,0.03954873505228169,0.12848115878403032,0.02761515251175693,0.13008911488125885,0.024207114484746686,0.16654168981557294,0.11297975557926254,0.11311281914048987,0.06102712315056845,0.1486569181603754,0.0474780017750481,0.1646867105501988,0.07690900132301356,0.16075914391963053,0.03713602723016693,0.16303826635647378,0.05797793749677116,0.12160264736364135,0.0691605304619468,0.14097984570355082,0.0786890340373871,0.1473517771610947,0.028325465252229433,0.14398621346998142,0.10032249795669211,0.1404432124974585,0.040319092357901695,0.131413372241304,0.08831522879500621,0.14396999379826636,0.061864658890134754,0.1427892733192575,0.08222700237585114,0.14700811137560588,0.04233103349923956,0.14769829951226965,0.03199868095043217,0.14033701730964465,0.03777293240916345,0.14912280996441196,0.06438592442639708,0.15617240009083444,0.07939379668672923,0.16075073996531086,0.07001898674375674,0.14032249794567375,0.09702513530122513,0.13996469096533126,0.019197426307686987,0.1345043143164778,0.06713025304595209,0.13476017607835855,0.10089993032832885,0.15374523374126625,0.03541620765605229,0.14651661728140475,0.03663194115425595,0.15770394578848135,0.03293563519229053,0.11958873018535443,0.07396712653192197,0.15240494840367147,0.03706094433723754,0.1744891138016701,0.05453255069265664,0.14684200708708683,0.060551002499048386,0.1440597113620471,0.05225596497264791,0.11927195906721533,0.016318165012885015,0.13812928532872337,0.05786908810627158,0.15004128146059426,0.0631145242434185,0.13069826568146115,0.07406563868990558,0.16519663509073956,0.047524413103184164,0.14182580391990696,0.06372574215452279,0.1484504933769082,0.036205556990536146,0.1595996962264663,0.11454537516837024,0.16565164391803644,0.0565135480649409,0.14159841450772603,0.03568170711379181,0.13071533957022763,0.07560083337343373,0.12985092269116116,0.013044808955950619,0.13514451337796918,0.06022958115317527,0.1341049179522794,0.04568562982483727,0.15036184680690268,0.06526256607253646,0.12403128895236237,0.0710892052235305,0.1578852212260209,0.02916023687711365,0.1797235215925207,0.07712133588515097,0.14715210466409412,0.06979815132000321,0.06979815132000321,0.03466682289419617,0.12355977832502571,0.14715210466409412,0.12231308612159375,0.1737588684831475
socioeconomic,0.03731736625508719,0.0,0.040397009436905607,0.0,0.025106585339992993,0.0,0.04029507366876295,0.0,0.044232861675329915,0.0,0.04909742667849093,0.0,0.031488458014999665,0.0,0.03923147414392325,0.0,0.025934934792310238,0.0,0.02786724809834895,0.0,0.039674393993900714,0.011406033303158135,0.05272883233060499,0.0,0.03046148940553617,0.0,0.032216781988064214,0.0,0.047409637038991814,0.0,0.03711850932117988,0.0,0.028327481983843494,0.0,0.035466293472038,0.0,0.05145236152769972,0.0,0.03427665489075904,0.0,0.01840836023341952,0.0,0.03098636488259987,0.0,0.037581031066916015,0.0,0.03353350588218973,0.0,0.03865493686557386,0.0,0.04223297752207078,0.008031564715307696,0.03229704081931062,0.008131127921074802,0.027178234568492443,0.0,0.03368238681855362,0.0,0.03256733139194079,0.0,0.04303565972001944,0.0,0.05343501126283401,0.0,0.03838662080376165,0.0,0.039830287472989334,0.0,0.03445502942186773,0.0,0.03599580578048878,0.0,0.021460244016315744,0.0,0.05883872783471156,0.0,0.03350853751673144,0.0,0.051339940611139556,0.0018504832944488004,0.04519096074797624,0.0,0.03511336936924081,0.0,0.033001604420160424,0.0,0.035416854481542415,0.023623837688950825,0.03404005825212486,0.0,0.043747424965688175,0.0,0.04128922265642243,0.0,0.039950609879060184,0.0,0.045075029405404976,0.0,0.03463558675546863,0.0,0.045401071326937936,0.0019755144693100334,0.027905435317325367,0.0,0.02244233576803234,0.0,0.04294286403112291,0.0,0.02943028436231887,0.0,0.047827189013540106,0.0,0.03964696175990956,0.0,0.045415596248975953,0.0,0.025699639683014586,0.0,0.03042580267320749,0.0,0.020368727825295085,0.0,0.022742135587595302,0.0060804266726417824,0.03454566921511015,0.0,0.04819348948265578,0.004279968226810477,0.0307534284353721,0.0,0.04000746083834006,0.0,0.033735329063622865,0.0,0.037754369471354465,0.0,0.02750807865122029,0.0,0.03246898138358778,0.0,0.03445497543654985,0.0,0.032791347776814805,0.0,0.0294824705688147,0.0,0.04622926865427979,0.0,0.0446166643145266,0.0,0.03983639161010244,0.0,0.03247603359502815,0.0,0.04353501525253123,0.0,0.021137000222795965,0.0,0.04106709816163945,0.004137788557006168,0.0351550952905495,0.0,0.03318213698220318,0.0,0.04500970754618594,0.0,0.020944259117380182,0.0,0.025014245760485165,0.0,0.03490177295831742,0.0,0.032786105893121364,0.013057668814157895,0.038558522899798664,0.0,0.022077706116320983,0.0,0.047021130816218504,0.0,0.03409474430624149,0.0,0.02429395711154958,0.0,0.042915011170238215,0.0,0.041700922817348274,0.0,0.034282001574249765,0.0,0.02528259849885317,0.0,0.05215812718183277,0.007711334197939377,0.05311652619725615,0.0,0.036364139455638766,0.0,0.035491383584937974,0.0,0.03271618236985141,0.0,0.0,0.0,0.0,0.03271618236985141,0.012499993129105973,0.044396553597250143
sex,0.0013379824009844832,0.010560648714326755,0.0012744997471556552,0.013884286090045266,0.001141733051511551,0.0,0.0036738495413439765,0.029228841544716475,0.005234894605766427,0.0012324276522785306,0.0048090310918541546,0.0,0.002238165785409807,0.02062912350668776,0.0037124672769236478,0.0033923106484723057,0.003954683218136523,0.005677673549296216,0.0009888745863981807,0.0,0.001116549654913035,0.043337024988074534,0.0,0.0,0.0012337977392770094,0.0004989545563297259,0.004603016143317817,0.0,0.004105442100088785,0.016447380214553654,0.0039968375815488955,0.0,0.0006695024916753001,0.0009395668775027069,0.005969871928043546,0.0008883457223097148,0.0,0.0233895135386768,0.0015489752316977246,0.00896727145986988,0.004801303487783404,0.0,0.0012091406546832495,0.06710084213235619,0.0026983894858784163,0.015384389175210265,0.0,0.0,0.006774630714399099,0.0,0.0,0.0,0.0030177001237704504,0.03632117504182122,0.000719573501407833,0.021694251046852058,0.002447803306550478,0.04730424443650771,0.006016075624155737,0.012114770736744605,0.005437293337575255,0.03269157295563296,0.0037429599625592447,0.05019749937183242,0.007127176363985743,0.010768669663165845,0.0017037581981157457,0.0040902303498340726,0.0,0.015072456054587208,0.0,0.0,0.004271620390006281,0.0027083402980513766,0.0,0.005012978312179492,0.0,0.033396224450689856,0.0022807157465671857,0.0,0.0014349747037007976,0.0,0.0025785970282526938,0.01836249982737058,0.0016154016271513472,0.0,0.0,0.023771048509669483,0.0038832631708127785,0.013079231024538512,0.004004734808216837,0.0342167293845918,0.0008725719919255859,0.022626964558585476,0.00030529885124919165,0.010749755609728674,0.0009111994887998076,0.03299880182927722,0.0,0.0,0.008776552896954226,0.03103040471848448,0.0018303264460909352,0.0,0.0,0.0,0.001993540206218114,0.04131649140806882,0.0,0.0,0.0038840930091090797,0.0,0.0,0.008092643341380918,0.00024994197085992376,0.016186000717423356,0.0,0.0,0.002774453184211434,0.01732271768607874,0.0006680911711751669,0.0,0.0,0.0,0.0024112383258285686,0.03982293842722659,0.0,0.03565914727120262,0.0,0.022255398724802332,0.0,0.0,0.0016804910204214485,0.045354860675988554,0.003439534566752833,0.004588280964165627,0.0005500784905962952,0.01975409318391711,0.00025899156287545466,0.050592621856924876,2.5522489945806193e-05,0.014062059613800628,0.003199750209467722,0.0,0.0018273433093750624,0.014120492234859618,0.0010286338560584474,0.01633929914813847,0.0,0.0,0.004887002017856301,0.00018880496111876006,0.008090253146333493,0.0046634097019297525,0.002179662675642291,0.016925768009968905,0.0,0.008780195760390698,0.0006437855163727857,0.029225528444846074,0.0038035619594642966,0.0,0.0,0.0,0.006576376985598098,0.008594372015337057,0.0,0.00985474687765789,0.004264294188200846,0.009332213797100674,0.0,0.009485072132886432,0.0,0.008187945463685677,0.0,0.040398670655561957,0.0,0.05288484877890502,0.003379263653938591,0.04226765100954263,0.0026282102642822824,0.0,0.0,0.023013009459365474,0.003967174954279562,0.016273811955690075,0.0,0.0,0.0041503277600892785,0.030725419636014255,0.0005100962297341916,0.0,0.0,0.0256969126218561,0.0013215491947220492,0.05913029273606684,0.0001920978651231975,0.001925171632632538,0.0026106482698060596,0.00853245960123297,0.00010343495664177915,0.020759568625117124,0.020759568625117124,0.0,0.04151913725023425,0.00010343495664177915,0.0,0.0002068699132835583
bloodwork,0.014556840987481445,0.0,0.03122184376982018,0.0,0.037499422132922566,0.0,0.031118610514249356,0.0,0.026114373277121294,0.0,0.026382907547397805,0.0,0.027738200937939106,0.0,0.0276799056282947,0.0,0.01678845972667853,0.0,0.02627021210246605,0.0,0.016776131089885182,0.0,0.03112681204734724,0.0,0.024313810507591183,0.0,0.03710075256780565,0.0,0.01635932889337033,0.0,0.028321444502249826,0.0,0.025262158389308897,0.0,0.029583033922950808,0.0,0.04228716248758857,0.0,0.04509648059432758,0.0,0.019785272059482995,0.0,0.04055179041816359,0.0,0.01739140676144668,0.0,0.025371966545931546,0.0,0.02873875677206661,0.0,0.03582525030710704,0.0,0.020491215042499955,0.0,0.027373972587506512,0.0,0.02064804449277069,0.020558509667524885,0.028803147684601793,0.0,0.023372114138818345,0.0,0.02306439280047967,0.0,0.03895261481543477,0.00942694474264098,0.01894951271732115,0.0,0.013623299980165648,0.0,0.027522272706416717,0.0,0.030929188092476356,0.0,0.026641518763130922,0.0,0.013844915861958795,0.0,0.03425297777446512,0.0064497960994025225,0.02479682567082564,0.0,0.033243891751471244,0.0,0.016496892951594955,0.0,0.024775285693382942,0.0,0.013904725055273182,0.0,0.02966618695687029,0.0,0.014695167098916828,0.02636009610974412,0.009286691888379828,0.0,0.022521392669831775,0.004475738925145347,0.028819137641794335,0.0,0.031581383618172865,0.0,0.027450726708095785,0.0,0.030503700843082404,0.0,0.025092141691789194,0.0,0.01388307471933159,0.0,0.02657333443570098,0.0,0.02883675491075821,0.0,0.022716591666153918,0.0,0.028014723089721527,0.0,0.022622256765628124,0.0,0.03355847851362492,0.0,0.02956079855260052,0.0028187396439796676,0.022874081037199345,0.0,0.02988406279518796,0.013325111064714918,0.019608334086014922,0.0,0.023540981477277123,0.0,0.02265367337226276,0.0,0.026729329355554277,0.0,0.02474001379521662,0.0,0.02799501696495954,0.01570666453959704,0.023940773506233803,0.005810591248224875,0.018997496744341813,0.0,0.027048656386624126,0.0,0.03394354952182932,0.01924326969293341,0.02641450787308619,0.0,0.020988926126177865,0.0,0.02614063913463982,0.0,0.015695581961538974,0.0,0.030127593030914057,0.0,0.02879555804747802,0.0,0.023296259498071015,0.0,0.01650457094364366,0.0,0.024133644262445464,0.0,0.026530030074168653,0.004089334336753647,0.026026384134633984,0.0,0.016035847105613676,0.0,0.018500110337591802,0.0,0.017931524171357682,0.0,0.022296561810612903,0.011667870956502565,0.0254367657202087,0.0035065659950712326,0.022785640063456736,0.0,0.02519657515306606,0.0,0.03136578082286168,0.0,0.014488987014654509,0.0,0.03203414886472544,0.0,0.026209315295313562,0.0,0.02228889178152027,0.0,0.026200083013510844,0.0,0.022000154668663674,0.0,0.025670937411368056,0.0,0.023620251314346974,0.023001790920665652,0.023001790920665652,0.0284401995962327,0.046003581841331305,0.023620251314346974,0.00744832062182656,0.033377461309483075
