#../do_sensitivity.py -i input_df.csv -b 2 -o sensitivity_output -cov covariates/ -boot bootstrap/ -cut 0.95 -multi 4
alpha,delta,Rsq
0.0001,1931.5132941209918,20.095849394598833
0.0006000000000000001,321.7579068147499,3.373904870162487
0.0011,175.41650796873785,1.8541525216767472
0.0016,120.53848340148353,1.0
0.0021,91.79285148530212,0.9863776356422418
0.0026,74.10323184457529,0.8030668419181105
0.0031,62.11994112021217,0.6790268835598666
0.0036,53.46534226372764,0.589557633299635
0.0041,46.921621177117366,0.522007615889485
0.004600000000000001,41.80044815281369,0.4692259143376642
0.0051,37.68342670190267,0.42686587833592005
0.0056,34.301587652940135,0.39213326071233945
0.0061,31.474148448069958,0.36315001402327823
0.006600000000000001,29.07510912272554,0.3386072628459146
0.0071,27.013962660105786,0.317564901977153
0.0076,25.224019679409516,0.29933029668722044
0.0081,23.65505731361402,0.283381906054812
0.0086,22.26853243221348,0.26931954741760444
0.0091,21.034372922395306,0.256831055853549
0.0096,19.928771694849907,0.24566936169840378
0.0101,18.932635935378244,0.23563637614797492
0.0106,18.03047524755491,0.22657143717785536
0.011099999999999999,17.209590297373282,0.21834287797431307
0.0116,16.459471291172882,0.21084177583230176
0.0121,15.771345591269961,0.2039772508719273
0.0126,15.137833042153032,0.1976728841132146
0.0131,14.552680229609912,0.19186395587448052
0.0136,14.010553359165499,0.18649529340190926
0.0141,13.506875202937165,0.18151957651565861
0.0146,13.037695550559944,0.1768959914817467
0.015099999999999999,12.599587398340228,0.17258915239934441
0.0156,12.189563102031995,0.16856823008552316
0.0161,11.805006153320475,0.16480624334929922
0.0166,11.443615285856714,0.16127947841500415
0.0171,11.10335838725048,0.1579670102636197
0.0176,10.782434266974168,0.1548503056219376
0.0181,10.479240761077715,0.15191289180863157
0.0186,10.192347981304712,0.14914007904211432
0.0191,9.920475765917784,0.1465187264107916
0.0196,9.662474581928146,0.1440370437062162
0.0201,9.417309277738992,0.14168442287184582
0.0206,9.184045201908477,0.13945129403321918
0.0211,8.961836295548656,0.1373290020298436
0.0216,8.749914838557327,0.13530970012464796
0.022099999999999998,8.547582587764683,0.13338625816867927
0.0226,8.354203091431918,0.13155218298059823
0.0231,8.169195001866797,0.12980154908862004
0.0236,7.992026238130709,0.12812893829661334
0.0241,7.822208875379496,0.12652938679145978
0.0246,7.659294657455595,0.12499833871749541
0.0251,7.502871045823488,0.1235316053150956
0.0256,7.352557731520729,0.1221253288616585
0.0261,7.208003548034197,0.12077595077003611
0.0266,7.068883732347869,0.1194801832965075
0.0271,6.9348974891961666,0.11823498439136053
0.0276,6.805765820071633,0.11703753529280658
0.0281,6.68122958401208,0.11588522052193823
0.0286,6.56104776180072,0.11477560998423932
0.0291,6.444995899115549,0.1137064429238028
0.0296,6.332864707467028,0.11267561351064496
0.0301,6.2244588045775995,0.11168115787080757
0.0306,6.1195955782531835,0.11072124239379298
0.0311,6.018104159849155,0.10979415317321721
0.0316,5.91982449519212,0.10889828645482391
0.032100000000000004,5.824606502331224,0.10803213998170216
0.032600000000000004,5.732309306797373,0.10719430514011791
0.033100000000000004,5.6428005461738895,0.10638345982101241
0.033600000000000005,5.555955736759437,0.10559836192241036
0.034100000000000005,5.471657695949522,0.10483784342671323
0.034600000000000006,5.389796014700585,0.10410080499453646
0.035100000000000006,5.3102665750826885,0.10338621102339816
0.03560000000000001,5.232971108487758,0.10269308512538357
0.03610000000000001,5.15781679055195,0.10202050598301766
0.0366,5.084715869281065,0.10136760354703127
0.0371,5.013585323246586,0.1007335555436316
0.0376,4.944346547053468,0.10011758426235819
0.0381,4.876925061574072,0.0995189535986235
0.0386,4.811250246702943,0.09893696632775714
0.0391,4.747255094616242,0.09837096158972579
0.0396,4.684875981723659,0.09782031256582562
0.040100000000000004,4.624052457681263,0.09728442433051111
0.040600000000000004,4.564727049994584,0.09676273186318941
0.041100000000000005,4.506845082884231,0.09625469820628815
0.041600000000000005,4.450354509214022,0.09575981275722326
0.042100000000000005,4.395205754395853,0.09527758968308551
0.042600000000000006,4.341351571287002,0.09480756644789451
0.043100000000000006,4.288746905187664,0.0943493024432493
0.04360000000000001,4.237348768127275,0.09390237771400042
0.0441,4.187116121703213,0.09346639177139329
0.0446,4.1380097677998435,0.0930409624867389
0.0451,4.089992246577271,0.09262572505936749
0.0456,4.043027741170973,0.09222033105308942
0.0461,3.9970819885934525,0.09182444749595982
0.0466,3.9521221963716613,0.09143775603854198
0.0471,3.908116964494301,0.0910599521663103
0.0476,3.8650362122782163,0.0906907444621692
0.048100000000000004,3.822851109796352,0.09032985391543588
0.048600000000000004,3.7815340135384177,0.08997701327390213
0.049100000000000005,3.741058406002597,0.08963196643588593
0.049600000000000005,3.7013988389413224,0.08929446787945017
0.050100000000000006,3.662530880005005,0.08896428212613489
0.050600000000000006,3.6244310625496605,0.0886411832368438
0.051100000000000007,3.5870768383908813,0.08832495433762713
0.05160000000000001,3.550446533304961,0.08801538717334924
0.05210000000000001,3.5145193050920844,0.087712281687327
0.0526,3.479275104031537,0.08741544562521932
0.0531,3.4446946355710106,0.08712469416154467
0.0536,3.4107593251041606,0.08683984954733796
0.0541,3.3774512847013596,0.08656074077757199
0.0546,3.3447532816686056,0.0862872032770735
0.0551,3.312648708817924,0.08601907860372283
0.055600000000000004,3.281121556342246,0.08575621416787672
0.056100000000000004,3.2501563851941295,0.08549846296696613
0.056600000000000004,3.2197383018754704,0.08524568333433043
0.057100000000000005,3.189852934551908,0.08499773870141768
0.057600000000000005,3.1604864104110217,0.08475449737251002
0.058100000000000006,3.13162533418997,0.08451583231124396
0.058600000000000006,3.1032567678020198,0.0842816209381771
0.05910000000000001,3.0753682109976386,0.08405174493878154
0.05960000000000001,3.047947582998697,0.08382609008120862
0.0601,3.020983205049648,0.0836045460432792
0.0606,2.994463783832431,0.08338700624814697
0.0611,2.968378395695699,0.08317336770813623
0.0616,2.942716471652089,0.08296353087628529
0.0621,2.9174677831003324,0.08275739950516181
0.0626,2.8926224282315056,0.08255488051252967
0.0631,2.8681708190816657,0.08235588385349416
0.0636,2.844103669195196,0.08216032239876044
0.0641,2.8204119818654734,0.0819681118186648
0.0646,2.797087038921645,0.08177917047266733
0.0651,2.7741203900322553,0.08159341930401495
0.0656,2.751503842497901,0.08141078173928194
0.0661,2.729229451507161,0.08123118359253523
0.0666,2.707289510831605,0.0810545529738877
0.0671,2.6856765439366095,0.08088082020218658
0.06760000000000001,2.6643832954868083,0.08070991772164157
0.06810000000000001,2.6434027232256914,0.08054178002217567
0.06860000000000001,2.6227279902103753,0.08037634356331418
0.06910000000000001,2.602352457383403,0.08021354670142064
0.06960000000000001,2.5822696764648643,0.08005332962012479
0.07010000000000001,2.5624733831485926,0.07989563426376592
0.07060000000000001,2.542957490587504,0.07974040427370875
0.07110000000000001,2.5237160831538685,0.079587584927391
0.07160000000000001,2.5047434104609114,0.07943712307995666
0.07210000000000001,2.4860338816333254,0.07928896710836547
0.0726,2.4675820598143883,0.07914306685783823
0.0731,2.4493826568985835,0.07899937359053913
0.0736,2.431430528478918,0.07885783993638257
0.0741,2.4137206689987742,0.07871841984586092
0.0746,2.3962482070988056,0.07858106854480496
0.0751,2.3790084011495662,0.07844574249097093
0.0756,2.361996634961566,0.0783123993323877
0.0761,2.3452084136643405,0.0781809978673661
0.0766,2.3286393597469757,0.07805149800610349
0.0771,2.3122852092526482,0.07792386073380399
0.0776,2.29614180812037,0.07779804807525327
0.0781,2.2802051086671313,0.07767402306076869
0.0786,2.264471166204378,0.07755174969347464
0.0791,2.248936135782879,0.07743119291784438
0.0796,2.2335962690601465,0.07731231858943874
0.0801,2.2184479112852524,0.07719509344580205
0.0806,2.2034874983959125,0.07707948507846256
0.0811,2.188711554222841,0.07696546190597854
0.0816,2.174116687796981,0.07685299314799876
0.0821,2.1596995907551224,0.07674204880028695
0.0826,2.1454570348396746,0.0766325996106634
0.08310000000000001,2.1313858694887915,0.07652461705583721
0.08360000000000001,2.117483019512925,0.0764180733190806
0.08410000000000001,2.103745482854245,0.0763129412687126
0.08460000000000001,2.090170328425577,0.07620919443736376
0.08510000000000001,2.0767546940254467,0.07610680700197944
0.08560000000000001,2.0634957843262582,0.07600575376454086
0.08610000000000001,2.050390868932508,0.07590601013346511
0.08660000000000001,2.0374372805063534,0.07580755210566806
0.08710000000000001,2.024632412957665,0.0757103562492499
0.08760000000000001,2.0119737196960457,0.0756143996867834
0.0881,1.9994587119425122,0.075519660079192
0.0886,1.9870849570981541,0.07542611561016949
0.0891,1.9748500771678805,0.07533374497114606
0.0896,1.962751747236832,0.07524252734675867
0.0901,1.950787693997583,0.07515244240081852
0.0906,1.9389556943260817,0.07506347026274984
0.0911,1.9272535739045629,0.07497559151448918
0.0916,1.9156792058893626,0.07488878717780667
0.0921,1.9042305096224545,0.07480303870207339
0.0926,1.8929054493843223,0.07471832795240081
0.0931,1.881702033187448,0.07463463719820339
0.0936,1.8706183116080395,0.07455194910210058
0.0941,1.8596523766554134,0.07447024670921214
0.0946,1.848802360676912,0.07438951343677361
0.0951,1.8380664352975578,0.07430973306410138
0.0956,1.8274428103928824,0.07423088972287051
