#../do_sensitivity.py --input_csv input_df.csv --bias 2 --output_dir sensitivity_output --covariate_dir covariates/ --bootstrap_dir bootstrap/ --multi 4
alpha,delta,Rsq
0.0001,1179.7451586148254,9.336821689054947
0.0006000000000000001,196.52587117372212,1.0
0.0011,107.14229958816964,0.6619748648455032
0.0016,73.62346024358763,0.45084110252534854
0.0021,56.065972967854066,0.3428858749216633
0.0026,45.26136541355665,0.27742186728011636
0.0031,37.94211513483896,0.2335257240282401
0.0036,32.65598993354288,0.20206695228179739
0.0041,28.659163561831182,0.17842856567692902
0.004600000000000001,25.531212488317696,0.16002575382287054
0.0051,23.016585154708817,0.1452989651374291
0.0056,20.95099841638723,0.13325158271802143
0.0061,19.224032454839676,0.12321703062918281
0.006600000000000001,17.75872800261751,0.1147326456121272
0.0071,16.49980445915902,0.10746727311165045
0.0076,15.406528750366137,0.10117766270303893
0.0081,14.448225351300763,0.09568113087571303
0.0086,13.601352580033684,0.09083782617010559
0.0091,12.847542750664088,0.08653887970938154
0.0096,12.172254778520491,0.08269828220795364
0.0101,11.563827001638643,0.07924718848569401
0.0106,11.012798071632439,0.07612984340958757
0.011099999999999999,10.511411387572737,0.07330061521106815
0.0116,10.053247693518179,0.07072180029656074
0.0121,9.63294876756731,0.06836197525441738
0.0126,9.246006899231585,0.06619474330779947
0.0131,8.888602578097059,0.06419776932072906
0.0136,8.557477986457725,0.062352028749578445
0.0141,8.249837408409828,0.06064121719011577
0.0146,7.963268102830968,0.059051281848842806
0.015099999999999999,7.695676896959316,0.057570046553928604
0.0156,7.445238973515335,0.056186909228694286
0.0161,7.210356200595824,0.05489259600792628
0.0166,6.989622992310016,0.05367896000411952
0.0171,6.7817981587777645,0.052538815546836565
0.0176,6.585781554423485,0.05146580081185594
0.0181,6.4005945967186095,0.050454263327965196
0.0186,6.225363927062388,0.04949916403900095
0.0191,6.059307638016437,0.04859599650722745
0.0196,5.901723608615689,0.0477407185433597
0.0201,5.751979580677663,0.04692969409069158
0.0206,5.609504680309444,0.046159643614132065
0.0211,5.473782144887587,0.04542760157771431
0.0216,5.344343060179704,0.044730879857361926
0.022099999999999998,5.22076094763055,0.04406703614514848
0.0226,5.102647070149941,0.04343384656890328
0.0231,4.989646347538625,0.04282928188587991
0.0236,4.881433791139651,0.04225148671827128
0.0241,4.7777113823091,0.04169876138699648
0.0246,4.678205331561091,0.04116954597255905
0.0251,4.582663665305037,0.0406624062911382
0.0256,4.490854095387105,0.040176021522967745
0.0261,4.402562133512008,0.039709173270497486
0.0266,4.317589418323946,0.03926073585740629
0.0271,4.2357522276815684,0.03882966770752321
0.0276,4.156880152642177,0.03841500366611881
0.0281,4.0808149130134375,0.0380158481456767
0.0286,4.007409297147941,0.03763136899480405
0.0291,3.9365262110372727,0.037260792002917466
0.0296,3.8680378237816946,0.03690339596519131
0.0301,3.801824798228961,0.03655850824232608
0.0306,3.7377755970406943,0.03622550075828025
0.0311,3.6757858556977094,0.03590378638644963
0.0316,3.6157578150301357,0.03559281568106808
0.032100000000000004,3.5575998067821146,0.03529207391601162
0.032600000000000004,3.5012257865171597,0.035001078397844415
0.033100000000000004,3.4465549088583964,0.034719376023969045
0.033600000000000005,3.393511140653764,0.034446541060224246
0.034100000000000005,3.342022908173606,0.03418217311529584
0.034600000000000006,3.2920227748980784,0.03392589529193268
0.035100000000000006,3.2434471468440753,0.03367735249724879
0.03560000000000001,3.196236002724174,0.03343620989639192
0.03610000000000001,3.1503326465300314,0.033202151495607034
0.0366,3.1056834803958386,0.032974878842257
0.0371,3.0622377958286036,0.03275410983070852
0.0376,3.019947581595605,0.03253957760417712
0.0381,2.9787673467388,0.032331029543668025
0.0386,2.9386539573446067,0.032128226336073956
0.0391,2.8995664858377324,0.031930941114304376
0.0396,2.861466071692143,0.03173895866304536
0.040100000000000004,2.8243157925626536,0.03155207468438931
0.040600000000000004,2.7880805449388166,0.0313700951181444
0.041100000000000005,2.752726933510206,0.03119283551214074
0.041600000000000005,2.7182231685101685,0.031020120438302674
0.042100000000000005,2.6845389703747404,0.030851782950660066
0.042600000000000006,2.6516454811157293,0.030687664081832933
0.043100000000000006,2.6195151818627287,0.030527612374846576
0.04360000000000001,2.588121816078835,0.03037148344742373
0.0441,2.5574403179997893,0.030219139586160914
0.0446,2.527446745886642,0.030070449368229713
0.0451,2.498118219718354,0.029925287308452966
0.0456,2.4694328629835813,0.029783533529796853
0.0461,2.4413697482604086,0.029645073455489623
0.0466,2.4139088462995364,0.02950979752113229
0.0471,2.3870309783505714,0.029377600905306254
0.0476,2.360717771492972,0.029248383277309078
0.048100000000000004,2.3349516167529933,0.02912204856076372
0.048600000000000004,2.309715629806019,0.028998504711950788
0.049100000000000005,2.2849936140799603,0.02887766351180722
0.049600000000000005,2.2607700260903147,0.028759440370620604
0.050100000000000006,2.2370299428509606,0.028643754144526107
0.050600000000000006,2.2137590312171276,0.028530526962984283
0.051100000000000007,2.190943519028184,0.02841968406648224
0.05160000000000001,2.1685701679281735,0.02831115365376005
0.05210000000000001,2.1466262477513873,0.02820486673791793
0.0526,2.1250995123688368,0.028100757010809187
0.0531,2.103978176899329,0.027998760715168942
0.0536,2.0832508961960436,0.027898816523969548
0.0541,2.062906744526089,0.027800865426532224
0.0546,2.042935196366574,0.027704850620958513
0.0551,2.0233261082462524,0.02761071741247684
0.055600000000000004,2.004069701566943,0.027518413117329492
0.056100000000000004,1.9851565463435927,0.027427886971851636
0.056600000000000004,1.9665775458061676,0.027339090046418824
0.057100000000000005,1.9483239218105537,0.027251975163962244
0.057600000000000005,1.9303872010093082,0.027166496822772283
0.058100000000000006,1.912759201736484,0.02708261112332981
0.058600000000000006,1.895432021563878,0.027000275698922858
0.05910000000000001,1.8783980254889463,0.026919449649822895
0.05960000000000001,1.8616498347172874,0.02684009348080982
0.0601,1.845180316005056,0.02676216904184893
0.0606,1.8289825715289998,0.02668563947173706
0.0611,1.813049929253861,0.02661046914454557
0.0616,1.7973759337689033,0.026536623618700624
0.0621,1.7819543375671179,0.026464069588550503
0.0626,1.7667790927423566,0.02639277483827997
0.0631,1.7518443430812205,0.026322708198040456
0.0636,1.737144416527965,0.026253839502172964
0.0641,1.722673818002061,0.026186139549408308
0.0646,1.7084272225493138,0.026119580064937198
0.0651,1.69439946880859,0.026054133664248223
0.0656,1.6805855527773286,0.025989773818638873
0.0661,1.666980621860004,0.02592647482231014
0.0666,1.6535799691846813,0.025864211760960883
0.0671,1.6403790281736712,0.025802960481802945
0.06760000000000001,1.6273733673551307,0.025742697564922635
0.06810000000000001,1.6145586854032363,0.025683400295919367
0.06860000000000001,1.6019308063952469,0.025625046639754817
0.06910000000000001,1.589485675274493,0.025567615215751575
0.06960000000000001,1.5772193535089223,0.025511085273682454
0.07010000000000001,1.565128014935443,0.025455436670895712
0.07060000000000001,1.5532079417808509,0.025400649850424225
0.07110000000000001,1.5414555208506553,0.02534670582002993
0.07160000000000001,1.529867239877586,0.025293586132137145
0.07210000000000001,1.5184396840220342,0.02524127286461142
0.0726,1.5071695325171108,0.025189748602342778
0.0731,1.4960535554513785,0.025138996419594103
0.0736,1.4850886106827352,0.02508899986307866
0.0741,1.4742716408772316,0.025039742935731104
0.0746,1.4635996706669756,0.024991210081139855
0.0751,1.4530698039215706,0.024943386168609447
0.0756,1.4426792211278237,0.024896256478823063
0.0761,1.4324251768727594,0.024849806690078236
0.0766,1.4223049974252024,0.024804022865068217
0.0771,1.4123160784114663,0.024758891438184938
0.0776,1.402455882580897,0.024714399203319047
0.0781,1.3927219376572488,0.024670533302135138
0.0786,1.3831118342720692,0.024627281212800427
0.0791,1.3736232239764627,0.024584630739146643
0.0796,1.3642538173277858,0.024542570000246046
0.0801,1.3550013820480056,0.024501087420383153
0.0806,1.3458637412506056,0.024460171719404962
0.0811,1.3368387717330745,0.024419811903432887
0.0816,1.3279244023321797,0.02437999725592105
0.0821,1.319118612339335,0.02434071732904595
0.0826,1.3104194299735226,0.024301961935412984
0.08310000000000001,1.3018249309093437,0.024263721140066828
0.08360000000000001,1.2933332368578947,0.024225985252792546
0.08410000000000001,1.2849425141982587,0.02418874482069516
0.08460000000000001,1.2766509726575304,0.024151990621046126
0.08510000000000001,1.268456864037375,0.02411571365438578
0.08560000000000001,1.260358480985212,0.024079905137870745
0.08610000000000001,1.2523541558082192,0.024044556498856763
0.08660000000000001,1.2444422593284206,0.024009659368706877
0.08710000000000001,1.2366211997772074,0.023975205576816032
0.08760000000000001,1.2288894217277204,0.023941187144843456
0.0881,1.221245405063585,0.023907596281144153
0.0886,1.2136876639825664,0.023874425375391868
0.0891,1.20621474603377,0.023841666993385753
0.0896,1.198825231187081,0.023809313872033513
0.0901,1.1915177309335847,0.023777358914504082
0.0906,1.1842908874157783,0.02374579518554331
0.0911,1.1771433725864224,0.023714615906946165
0.0916,1.170073887394941,0.02368381445317943
0.0921,1.1630811610003269,0.023653384347149402
0.0926,1.156163950009543,0.023623319256108548
0.0931,1.1493210377404641,0.023593612987696105
